Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,76.0,3443.0,3458.0,3706.0,4168.0,4487.0,5535.0,6265.0,6394.0,6497.0,6681.0
Gross Margin %,21.1,70.3,69.8,72.7,71.8,72.9,69.5,66.1,63.4,62.6,61.7
Operating Income USD Mil,-8.0,1057.0,1274.0,1377.0,1803.0,1859.0,1975.0,2061.0,1985.0,2058.0,2075.0
Operating Margin %,-10.5,30.7,36.8,37.2,43.3,41.4,35.7,32.9,31.0,31.7,31.1
Net Income USD Mil,-68.0,317.0,549.0,653.0,1132.0,943.0,1075.0,1139.0,1034.0,1194.0,1111.0
Earnings Per Share USD,-0.12,0.49,0.64,0.76,1.4,0.62,1.49,1.66,1.58,1.96,1.91
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,562.0,644.0,850.0,858.0,810.0,1518.0,722.0,687.0,656.0,610.0,585.0
Book Value Per Share * USD,,9.84,10.93,10.95,12.26,18.57,19.66,13.4,13.5,13.35,15.14
Operating Cash Flow USD Mil,57.0,569.0,608.0,668.0,1100.0,1099.0,1285.0,1318.0,1277.0,1373.0,1706.0
Cap Spending USD Mil,-47.0,-102.0,-57.0,-49.0,-58.0,-77.0,-115.0,-120.0,-103.0,-88.0,-122.0
Free Cash Flow USD Mil,10.0,467.0,551.0,619.0,1042.0,1022.0,1170.0,1198.0,1174.0,1285.0,1584.0
Free Cash Flow Per Share * USD,,0.73,0.65,0.72,1.12,1.34,1.59,1.68,1.46,2.17,
Working Capital USD Mil,252.0,39.0,890.0,950.0,1685.0,1784.0,1116.0,-113.0,1017.0,1038.0,
