Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,0.6,1.74,1.34,1.05,0.8,0.38,0.27,0.85,0.67
Accounts Receivable,,,3.32,3.36,2.98,2.06,2.29,1.97,1.56,1.93,1.51
Inventory,,,0.42,0.33,0.56,0.55,0.57,0.55,0.48,0.44,0.53
Other Current Assets,,,0.66,0.76,0.54,1.73,1.49,1.61,1.04,0.79,0.54
Total Current Assets,,,5.0,6.18,5.41,5.39,5.14,4.51,3.36,4.02,3.25
Net PP&E,,,60.92,59.05,58.36,45.46,47.68,46.35,48.21,48.2,49.62
Intangibles,,,18.14,17.88,20.37,36.29,35.83,32.4,32.51,31.72,31.51
Other Long-Term Assets,,,15.93,16.88,15.85,12.86,11.34,16.74,15.92,16.07,15.62
Total Assets,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,2.25,2.24,2.37,1.76,2.23,1.91,1.57,1.57,1.69
Short-Term Debt,,,2.79,6.96,9.51,3.59,3.07,3.27,0.98,3.36,3.93
Taxes Payable,,,0.21,0.15,0.13,,,,,,
Accrued Liabilities,,,1.76,1.82,2.02,2.17,2.78,1.23,1.18,1.1,0.89
Other Short-Term Liabilities,,,1.39,1.43,0.72,0.12,,1.25,1.1,1.35,1.17
Total Current Liabilities,,,8.41,12.61,14.74,7.64,8.08,7.65,4.83,7.38,7.68
Long-Term Debt,,,48.01,47.78,46.74,46.93,45.07,48.37,50.42,46.52,43.7
Other Long-Term Liabilities,,,28.46,27.72,27.71,25.09,29.43,3.02,2.99,3.23,4.77
Total Liabilities,,,84.88,88.1,89.19,79.67,82.59,59.04,58.24,57.12,56.16
Total Stockholders' Equity,,,15.12,11.9,10.81,20.33,17.41,40.96,41.76,42.88,43.84
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
