Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,0.0,0.0,0.0,0.0,,,,0.0,1.0,1.0,1.0
Gross Margin %,100.0,100.0,100.0,100.0,,,,100.0,100.0,100.0,100.0
Operating Income GBP Mil,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0
Operating Margin %,,,,-276.2,,,,,-42.8,-13.2,-13.2
Net Income GBP Mil,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,-0.0,-0.0
Earnings Per Share GBP,-0.09,-0.06,-0.07,-0.02,-0.01,-0.01,,,,,
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,13.0,13.0,13.0,16.0,34.0,55.0,164.0,411.0,602.0,691.0,691.0
Book Value Per Share * GBP,0.27,0.21,0.14,0.14,0.04,,,,,,
Operating Cash Flow GBP Mil,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,0.0,0.0
Cap Spending GBP Mil,-0.0,-0.0,-0.0,-0.0,-0.0,,,,,,
Free Cash Flow GBP Mil,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,0.0,0.0
Free Cash Flow Per Share * GBP,-0.1,-0.08,-0.08,-0.05,-0.01,,,,,,
Working Capital GBP Mil,3.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,
