Key Financials USD,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue USD Mil,1674.0,1637.0,1680.0,1789.0,2002.0,2492.0,2530.0,2705.0,2832.0,3059.0,3059.0
Gross Margin %,53.3,52.4,43.9,51.6,49.7,46.6,49.2,53.0,55.2,53.0,53.0
Operating Income USD Mil,-198.0,-2017.0,70.0,374.0,114.0,-906.0,279.0,455.0,549.0,1370.0,1370.0
Operating Margin %,-11.8,-123.2,4.2,20.9,5.7,-36.4,11.1,16.8,19.4,44.8,44.8
Net Income USD Mil,-386.0,-2217.0,-63.0,157.0,-73.0,-1172.0,17.0,131.0,331.0,756.0,756.0
Earnings Per Share USD,-1.57,-8.64,-0.24,0.59,-0.28,-4.36,0.06,0.45,1.16,2.64,2.64
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,246.0,257.0,259.0,264.0,264.0,269.0,278.0,290.0,286.0,286.0,286.0
Book Value Per Share * USD,18.11,9.75,10.41,11.2,11.32,11.02,7.31,7.92,7.36,10.41,10.1
Operating Cash Flow USD Mil,365.0,546.0,457.0,456.0,370.0,494.0,508.0,786.0,787.0,8.0,8.0
Cap Spending USD Mil,-53.0,-66.0,-52.0,-64.0,-79.0,-94.0,-80.0,-89.0,-99.0,-107.0,-107.0
Free Cash Flow USD Mil,311.0,481.0,404.0,392.0,291.0,400.0,428.0,697.0,689.0,-99.0,-99.0
Free Cash Flow Per Share * USD,1.27,1.87,1.56,1.48,1.27,1.49,1.37,2.1,2.4,-0.16,
Working Capital USD Mil,353.0,492.0,657.0,833.0,902.0,536.0,946.0,322.0,424.0,-386.0,
