Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,4.24,5.56,5.39,4.39,6.9,6.6,6.93,8.09,8.11,10.85,10.8
Accounts Receivable,16.62,15.95,14.6,14.41,13.16,12.45,11.79,11.53,11.93,11.64,11.98
Inventory,11.58,12.0,10.86,10.94,10.43,10.19,10.27,10.27,9.87,9.66,9.43
Other Current Assets,3.34,3.67,3.37,3.65,4.1,4.77,5.76,6.24,6.75,3.64,4.86
Total Current Assets,35.78,37.18,34.22,33.39,34.6,34.02,34.75,36.13,36.66,35.78,37.07
Net PP&E,29.82,31.26,31.58,33.06,28.83,28.68,29.42,30.31,31.74,31.68,31.3
Intangibles,30.82,29.92,28.05,28.58,31.42,29.86,28.61,27.64,28.84,28.21,27.86
Other Long-Term Assets,3.57,1.65,6.15,4.98,5.16,7.44,7.21,5.91,2.75,4.33,3.77
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.55,10.64,10.53,10.43,9.78,9.63,9.68,9.15,9.28,9.27,9.11
Short-Term Debt,2.91,1.99,3.24,5.45,2.99,2.27,6.54,3.74,2.53,0.11,0.05
Taxes Payable,,2.73,3.48,2.43,3.08,2.25,1.72,3.09,2.32,4.56,3.06
Accrued Liabilities,17.82,14.24,15.08,15.06,13.36,8.9,14.27,13.3,15.43,13.29,17.94
Other Short-Term Liabilities,,,,,,4.84,,0.04,,0.03,
Total Current Liabilities,31.28,29.59,32.32,33.37,29.2,27.89,32.21,29.32,29.55,27.26,30.17
Long-Term Debt,31.86,35.93,25.34,25.2,34.82,36.78,34.22,41.93,52.43,53.78,51.04
Other Long-Term Liabilities,14.25,15.22,14.35,17.49,17.31,18.99,16.95,20.24,20.52,20.96,19.64
Total Liabilities,77.39,80.74,72.01,76.06,81.33,83.66,83.39,91.49,102.5,102.0,100.85
Total Stockholders' Equity,22.61,19.26,27.99,23.94,18.67,16.34,16.61,8.51,-2.5,-2.0,-0.85
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
