Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,11.51,15.09,20.52,26.88,28.39,17.38,22.01,25.24,28.77,29.68,10.43
Accounts Receivable,11.67,11.45,10.19,9.5,9.31,9.32,8.83,8.38,8.05,8.28,8.45
Inventory,6.31,5.95,5.47,5.23,5.53,6.18,5.94,6.24,6.04,5.77,6.12
Other Current Assets,7.51,8.0,5.59,4.37,4.57,5.13,5.74,5.38,2.28,2.32,1.88
Total Current Assets,36.99,40.49,41.76,45.97,47.79,38.0,42.51,45.23,45.13,46.05,26.87
Net PP&E,17.52,16.92,15.59,14.14,12.97,13.27,12.59,12.3,11.92,11.27,10.68
Intangibles,35.53,32.62,32.94,31.11,30.16,42.17,38.25,37.41,35.52,35.18,55.17
Other Long-Term Assets,9.96,9.98,9.71,8.78,9.07,6.56,6.65,5.05,7.42,7.49,7.27
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,8.53,8.84,5.85,5.46,5.04,4.81,4.72,5.82,5.0,4.9,4.11
Short-Term Debt,3.04,4.4,6.67,7.4,5.86,3.85,3.66,2.77,5.25,3.32,5.45
Taxes Payable,,0.49,0.47,0.56,0.75,0.88,0.58,0.38,0.56,0.69,0.76
Accrued Liabilities,12.93,10.83,9.96,8.99,8.42,10.46,10.39,10.15,9.99,9.71,10.11
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,24.5,24.56,22.95,22.42,20.07,19.99,19.35,19.13,20.8,18.62,20.43
Long-Term Debt,8.74,9.56,8.68,8.9,11.41,9.47,10.04,11.53,9.64,15.89,17.14
Other Long-Term Liabilities,13.25,15.82,14.93,13.7,18.29,17.12,14.79,16.14,16.23,15.62,14.9
Total Liabilities,46.49,49.94,46.57,45.02,49.77,46.58,44.19,46.8,46.67,50.13,52.47
Total Stockholders' Equity,53.51,50.06,53.43,54.98,50.23,53.42,55.81,53.2,53.33,49.87,47.53
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
