Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,32.94,2.63,4.39,5.07,6.19,4.77,10.97,9.86,4.4,9.86,7.1
Accounts Receivable,11.55,11.61,10.61,11.73,11.44,11.67,11.73,12.25,12.85,12.78,13.93
Inventory,5.75,7.72,5.97,7.01,6.84,7.08,6.6,7.86,8.43,7.97,9.37
Other Current Assets,3.32,3.85,3.19,3.06,3.17,3.21,3.07,3.03,1.86,1.47,2.4
Total Current Assets,53.57,25.81,24.15,26.87,27.63,26.73,32.37,33.0,27.54,32.07,32.8
Net PP&E,6.29,9.41,9.57,8.89,8.75,8.94,8.32,8.54,9.41,8.69,8.63
Intangibles,32.82,56.56,58.27,57.19,55.68,55.91,53.59,53.03,57.69,54.28,54.12
Other Long-Term Assets,7.32,8.23,8.01,7.06,7.94,8.42,5.72,5.43,5.36,4.96,4.45
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.02,5.0,5.4,6.6,6.53,6.65,6.59,7.46,7.46,7.67,8.4
Short-Term Debt,5.15,11.23,4.39,3.81,4.07,5.21,2.08,2.79,3.01,2.07,6.24
Taxes Payable,,,,,,,0.35,,,,
Accrued Liabilities,12.34,10.11,10.12,10.73,11.39,10.64,10.29,10.95,11.32,10.9,11.82
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,22.51,26.34,19.9,21.13,21.99,22.5,19.3,21.19,21.8,20.64,26.46
Long-Term Debt,4.96,13.26,16.11,14.62,15.35,12.27,17.86,21.63,22.31,21.32,16.68
Other Long-Term Liabilities,17.53,28.57,28.47,24.41,25.73,26.58,22.81,22.56,21.14,19.85,18.63
Total Liabilities,44.99,68.16,64.48,60.16,63.08,61.35,59.97,65.39,65.25,61.81,61.77
Total Stockholders' Equity,55.01,31.84,35.52,39.84,36.92,38.65,40.03,34.61,34.75,38.19,38.23
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
