Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,6.31,4.12,7.72,4.98,12.76,4.01,6.78,1.84,2.53,2.99,2.59
Accounts Receivable,11.01,10.44,10.65,12.43,12.33,9.51,9.02,12.2,6.57,6.76,5.69
Inventory,,,,,,,,,,,
Other Current Assets,4.67,3.63,4.23,2.34,4.35,3.03,3.16,2.35,1.67,1.06,1.4
Total Current Assets,22.0,18.19,22.6,19.75,29.44,16.55,18.96,16.39,10.77,10.82,9.68
Net PP&E,10.29,8.89,8.94,7.67,7.75,6.53,9.32,12.89,7.45,8.21,7.78
Intangibles,57.96,60.3,60.12,68.43,60.76,74.92,65.06,68.8,80.34,77.49,78.98
Other Long-Term Assets,9.76,12.63,8.33,4.14,2.06,2.0,6.67,1.92,1.45,3.48,3.57
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,,,,,,,,
Short-Term Debt,4.24,23.62,6.69,35.96,0.36,8.27,0.18,14.33,15.58,2.31,10.71
Taxes Payable,1.11,,0.14,,,,,,,,
Accrued Liabilities,,,0.53,0.67,0.26,4.65,7.61,4.06,2.52,2.02,
Other Short-Term Liabilities,37.48,30.74,22.76,22.6,22.07,11.88,9.42,14.5,8.24,9.09,10.66
Total Current Liabilities,42.82,54.36,30.12,59.23,22.69,24.8,17.22,32.89,26.34,13.42,21.38
Long-Term Debt,48.57,48.48,52.91,33.02,71.4,53.64,50.77,46.94,40.83,49.24,40.49
Other Long-Term Liabilities,153.58,105.87,20.47,17.16,12.3,10.73,10.15,11.18,8.4,8.57,8.42
Total Liabilities,244.97,208.71,103.51,109.4,106.39,89.17,78.14,91.0,75.57,71.23,70.28
Total Stockholders' Equity,-144.97,-108.71,-3.51,-9.4,-6.39,10.83,21.86,9.0,24.43,28.77,29.72
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
