Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,13790.0,15330.0,15327.0,15564.0,16734.0,17085.0,17420.0,17277.0,16034.0,15195.0,15283.0
Gross Margin %,56.2,56.3,58.8,59.1,57.3,58.1,58.6,58.5,58.6,60.0,60.2
Operating Income USD Mil,2653.0,3101.0,3615.0,3489.0,3841.0,3889.0,3556.0,3557.0,2789.0,3837.0,3620.0
Operating Margin %,19.2,20.2,23.6,22.4,23.0,22.8,20.4,20.6,17.4,25.3,23.7
Net Income USD Mil,1737.0,1957.0,2291.0,2203.0,2431.0,2472.0,2241.0,2180.0,1384.0,2441.0,2307.0
Earnings Per Share USD,4.8,5.49,6.55,6.46,7.41,7.71,7.14,7.08,4.56,8.16,7.77
Dividends USD,,,,0.07,0.41,0.54,0.52,0.47,0.25,,
Payout Ratio % *,,,,,,,7.5,,,,
Shares Mil,356.0,357.0,350.0,341.0,328.0,320.0,313.0,308.0,303.0,299.0,297.0
Book Value Per Share * USD,,23.44,,,,,37.94,,,,-14.22
Operating Cash Flow USD Mil,2203.0,2238.0,3277.0,3211.0,2896.0,3196.0,3204.0,3298.0,2949.0,3141.0,3119.0
Cap Spending USD Mil,-583.0,-684.0,-575.0,-550.0,-537.0,-565.0,-670.0,-757.0,-691.0,-593.0,-583.0
Free Cash Flow USD Mil,1620.0,1554.0,2702.0,2661.0,2359.0,2631.0,2534.0,2541.0,2258.0,2548.0,2536.0
Free Cash Flow Per Share * USD,,16.37,,,,,57.22,,,,
Working Capital USD Mil,456.0,757.0,211.0,2.0,686.0,820.0,352.0,917.0,850.0,1033.0,
