Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,14302.0,13247.0,14117.0,14615.0,14129.0,14072.0,14613.0,14325.0,13415.0,13105.0,13518.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,3195.0,587.0,1730.0,2902.0,2226.0,2022.0,2277.0,1810.0,244.0,936.0,1582.0
Operating Margin %,22.3,4.4,12.3,19.9,15.8,14.4,15.6,12.6,1.8,7.1,11.7
Net Income USD Mil,2489.0,4530.0,564.0,1288.0,1062.0,568.0,595.0,591.0,260.0,654.0,973.0
Earnings Per Share USD,3.65,9.05,1.3,3.07,2.62,1.43,1.53,1.55,0.72,1.93,2.87
Dividends USD,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Payout Ratio % *,6.9,,19.0,8.0,8.1,17.5,12.8,21.7,13.7,45.5,8.7
Shares Mil,536.0,477.0,433.0,420.0,405.0,396.0,390.0,383.0,363.0,338.0,338.0
Book Value Per Share * USD,33.22,30.09,39.76,44.51,47.89,49.66,49.99,52.71,55.15,54.27,56.5
Operating Cash Flow USD Mil,5671.0,3371.0,4591.0,-47.0,3965.0,2854.0,2097.0,2990.0,3547.0,2253.0,2347.0
Cap Spending USD Mil,-2297.0,-3997.0,-2529.0,-917.0,-857.0,-1236.0,-1737.0,-2753.0,-1555.0,-1450.0,-1000.0
Free Cash Flow USD Mil,3374.0,-626.0,2062.0,-964.0,3108.0,1618.0,360.0,237.0,1992.0,803.0,1347.0
Free Cash Flow Per Share * USD,6.29,-1.31,4.76,-2.3,0.81,4.09,1.36,2.17,1.8,4.98,
Working Capital USD Mil,,,,,,,,,,,
