Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,518.0,600.0,658.0,693.0,772.0,899.0,1057.0,1622.0,2567.0,3696.0,6038.0
Gross Margin %,59.0,59.3,57.6,56.8,86.9,85.9,85.5,89.9,92.8,94.5,96.4
Operating Income USD Mil,181.0,211.0,222.0,223.0,239.0,274.0,333.0,394.0,618.0,376.0,423.0
Operating Margin %,34.9,35.1,33.7,32.2,30.9,30.4,31.5,24.3,24.1,10.2,7.0
Net Income USD Mil,44.0,47.0,52.0,50.0,50.0,63.0,73.0,54.0,163.0,-19.0,-484.0
Earnings Per Share USD,1.42,1.47,1.69,1.62,1.6,1.98,2.28,1.24,3.16,-0.47,-5.19
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,31.0,32.0,31.0,31.0,31.0,32.0,32.0,40.0,52.0,59.0,91.0
Book Value Per Share * USD,13.18,14.69,16.46,18.17,19.25,21.58,22.86,30.93,29.75,19.18,52.83
Operating Cash Flow USD Mil,79.0,91.0,233.0,231.0,243.0,296.0,333.0,412.0,538.0,420.0,604.0
Cap Spending USD Mil,-25.0,-18.0,-20.0,-19.0,-22.0,-29.0,-29.0,-40.0,-60.0,-100.0,-152.0
Free Cash Flow USD Mil,55.0,73.0,213.0,211.0,221.0,267.0,304.0,372.0,478.0,320.0,450.0
Free Cash Flow Per Share * USD,1.76,2.27,6.89,6.89,7.09,8.44,9.4,9.18,10.43,6.84,
Working Capital USD Mil,84.0,85.0,80.0,89.0,110.0,108.0,121.0,301.0,149.0,1257.0,
