Key Financials ZAR,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue ZAR Mil,3886.0,3186.0,3945.0,3571.0,3684.0,4421.0,5339.0,6036.0,6097.0,6865.0,6865.0
Gross Margin %,56.2,91.8,79.0,102.1,80.3,81.5,77.8,86.7,92.1,92.4,92.4
Operating Income ZAR Mil,2277.0,818.0,785.0,385.0,339.0,608.0,61.0,596.0,383.0,614.0,614.0
Operating Margin %,58.6,25.7,19.9,10.8,9.2,13.7,1.2,9.9,6.3,8.9,8.9
Net Income ZAR Mil,1493.0,630.0,641.0,349.0,311.0,505.0,9.0,-1036.0,-508.0,-636.0,-636.0
Earnings Per Share ZAR,6.01,1.77,1.71,0.93,0.79,1.28,0.02,-2.64,-1.45,-1.82,-1.82
Dividends ZAR,,,,0.25,0.15,,,,,,
Payout Ratio % *,,,,26.8,12.1,7.9,,,,,
Shares Mil,248.0,355.0,372.0,375.0,395.0,394.0,403.0,392.0,350.0,350.0,350.0
Book Value Per Share * ZAR,,,,,2.49,2.06,1.9,1.67,1.07,1.12,0.99
Operating Cash Flow ZAR Mil,1547.0,718.0,862.0,785.0,438.0,524.0,885.0,341.0,839.0,981.0,981.0
Cap Spending ZAR Mil,-265.0,-367.0,-377.0,-957.0,-2028.0,-1765.0,-901.0,-1103.0,-1174.0,-1621.0,-1621.0
Free Cash Flow ZAR Mil,1282.0,350.0,485.0,-172.0,-1591.0,-1241.0,-15.0,-762.0,-335.0,-639.0,-639.0
Free Cash Flow Per Share * ZAR,0.42,0.09,0.14,-0.05,-0.18,-0.32,-0.13,-0.01,-0.05,-0.2,
Working Capital ZAR Mil,1592.0,1129.0,1443.0,1551.0,1231.0,190.0,804.0,3160.0,3690.0,2489.0,
