Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,4782.0,3528.0,4499.0,4706.0,4694.0,4923.0,5641.0,5679.0,5677.0,5794.0,6355.0
Gross Margin %,,,,,,,,,,,
Operating Income USD Mil,1028.0,-84.0,939.0,591.0,-234.0,940.0,1555.0,1387.0,1112.0,1100.0,125.0
Operating Margin %,21.5,-2.4,20.9,12.6,-5.0,19.1,27.6,24.4,19.6,19.0,2.0
Net Income USD Mil,839.0,-19.0,807.0,611.0,-80.0,829.0,1259.0,1199.0,978.0,996.0,272.0
Earnings Per Share USD,13.19,-0.3,13.22,10.7,-1.49,15.79,25.44,25.91,22.1,23.68,6.47
Dividends USD,1.92,1.92,1.92,1.92,1.92,1.92,2.19,3.2,4.0,4.7,5.0
Payout Ratio % *,14.6,,14.5,17.9,61.3,12.2,10.0,11.6,17.7,20.1,77.3
Shares Mil,64.0,62.0,61.0,57.0,54.0,52.0,49.0,46.0,44.0,42.0,41.0
Book Value Per Share * USD,90.38,80.77,102.9,115.45,113.37,130.96,141.29,165.2,175.35,196.61,194.04
Operating Cash Flow USD Mil,854.0,663.0,785.0,918.0,660.0,664.0,1098.0,1314.0,1308.0,1373.0,1456.0
Cap Spending USD Mil,,,,,,,,,,,
Free Cash Flow USD Mil,854.0,663.0,785.0,918.0,660.0,664.0,1098.0,1314.0,1308.0,1373.0,1456.0
Free Cash Flow Per Share * USD,13.43,10.75,12.9,16.17,12.44,12.75,19.24,25.78,31.0,34.57,
Working Capital USD Mil,,,,,,,,,,,
