Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,21890.0,24829.0,23366.0,25179.0,26034.0,21852.0,23483.0,23617.0,22365.0,21079.0,22577.0
Gross Margin %,26.6,24.5,34.9,26.6,27.2,30.0,30.7,31.2,30.8,28.1,29.7
Operating Income USD Mil,1615.0,955.0,1199.0,1801.0,2319.0,1789.0,2113.0,2463.0,2384.0,1600.0,1913.0
Operating Margin %,7.4,3.8,5.1,7.2,8.9,8.2,9.0,10.4,10.7,7.6,8.5
Net Income USD Mil,1168.0,-1282.0,663.0,691.0,1322.0,794.0,1395.0,555.0,938.0,904.0,902.0
Earnings Per Share USD,10.8,-12.2,6.2,6.36,12.12,7.2,12.44,5.16,8.92,8.72,8.68
Dividends USD,,,,0.04,0.21,0.27,0.31,0.36,0.06,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,108.0,105.0,107.0,109.0,109.0,110.0,112.0,108.0,105.0,104.0,104.0
Book Value Per Share * USD,,,,,,,,,,,276.11
Operating Cash Flow USD Mil,1887.0,2669.0,4655.0,1631.0,2675.0,2967.0,3028.0,3077.0,2580.0,2478.0,1481.0
Cap Spending USD Mil,-1288.0,-1002.0,-534.0,-775.0,-1159.0,-1383.0,-1198.0,-1366.0,-1487.0,-1348.0,-1380.0
Free Cash Flow USD Mil,599.0,1667.0,4121.0,856.0,1516.0,1584.0,1830.0,1711.0,1093.0,1130.0,101.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,2893.0,2605.0,3539.0,3525.0,5718.0,3907.0,3898.0,3050.0,2553.0,2897.0,
