Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,3391.0,3944.0,3672.0,4632.0,6544.0,6532.0,6653.0,5998.0,5958.0,6022.0,6138.0
Gross Margin %,17.3,17.9,14.2,15.6,17.2,19.0,17.0,18.6,20.8,23.3,23.7
Operating Income USD Mil,347.0,434.0,153.0,339.0,671.0,668.0,613.0,581.0,660.0,808.0,828.0
Operating Margin %,10.2,11.0,4.2,7.3,10.3,10.2,9.2,9.7,11.1,13.4,13.5
Net Income USD Mil,198.0,267.0,41.0,169.0,416.0,428.0,396.0,355.0,402.0,485.0,514.0
Earnings Per Share USD,2.59,3.52,0.54,2.2,5.32,5.47,5.05,4.74,5.51,6.55,6.98
Dividends USD,,,0.14,0.56,0.66,0.92,1.56,1.68,1.74,1.9,1.6
Payout Ratio % *,,,,24.7,12.6,16.2,27.3,32.1,34.6,27.6,22.9
Shares Mil,77.0,76.0,76.0,76.0,78.0,78.0,78.0,75.0,73.0,74.0,74.0
Book Value Per Share * USD,14.23,15.0,14.57,18.5,21.07,23.92,24.08,25.41,27.02,33.32,33.55
Operating Cash Flow USD Mil,258.0,-79.0,586.0,394.0,300.0,732.0,619.0,731.0,686.0,771.0,753.0
Cap Spending USD Mil,-177.0,-228.0,-146.0,-159.0,-263.0,-313.0,-298.0,-276.0,-280.0,-284.0,-309.0
Free Cash Flow USD Mil,81.0,-307.0,440.0,235.0,37.0,419.0,321.0,455.0,406.0,487.0,444.0
Free Cash Flow Per Share * USD,0.87,-1.0,0.99,3.99,-0.11,3.96,2.01,4.73,5.87,5.93,
Working Capital USD Mil,415.0,438.0,480.0,862.0,1176.0,1427.0,1394.0,1423.0,1208.0,1274.0,
