Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,93469.0,97354.0,107808.0,106565.0,110875.0,115846.0,120550.0,127079.0,131620.0,125980.0,124419.0
Gross Margin %,59.8,60.3,58.6,58.6,58.6,60.1,62.8,60.7,60.1,59.2,59.2
Operating Income USD Mil,15578.0,2612.0,15978.0,14645.0,12880.0,13160.0,31968.0,19599.0,33060.0,27059.0,30644.0
Operating Margin %,16.7,2.7,14.8,13.7,11.6,11.4,26.5,15.4,25.1,21.5,24.6
Net Income USD Mil,5521.0,-2193.0,4894.0,2549.0,2404.0,875.0,11497.0,9625.0,17879.0,13127.0,15927.0
Earnings Per Share USD,1.9,-0.77,1.72,0.9,0.85,0.31,4.0,2.42,4.37,3.21,3.9
Dividends USD,,,,2.09,1.98,2.03,2.09,2.16,2.23,1.72,1.16
Payout Ratio % *,,,,941.3,78.8,186.5,273.0,44.6,90.8,49.8,29.6
Shares Mil,2902.0,2849.0,2841.0,2833.0,2839.0,2862.0,2874.0,3981.0,4093.0,4086.0,4088.0
Book Value Per Share * USD,11.74,12.16,10.15,10.14,10.63,9.94,8.57,3.28,2.83,4.75,5.61
Operating Cash Flow USD Mil,25739.0,26620.0,31565.0,33363.0,29780.0,31486.0,38818.0,30631.0,38930.0,22715.0,22212.0
Cap Spending USD Mil,-17538.0,-17238.0,-17047.0,-16458.0,-16244.0,-20110.0,-17184.0,-17545.0,-27717.0,-17593.0,-17536.0
Free Cash Flow USD Mil,8201.0,9382.0,14518.0,16905.0,13536.0,11376.0,21634.0,13086.0,11213.0,5122.0,4676.0
Free Cash Flow Per Share * USD,1.34,2.49,3.12,4.59,3.4,3.8,4.53,3.53,2.0,2.54,
Working Capital USD Mil,-6043.0,169.0,-6528.0,-8249.0,178.0,-5721.0,43944.0,1559.0,-12772.0,-3945.0,
