Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,3.41,4.45,4.63,4.09,3.39,3.83,3.56,4.48,4.36,3.45,3.36
Accounts Receivable,2.23,2.39,2.43,2.82,3.07,3.33,3.26,3.33,2.82,2.93,2.8
Inventory,21.51,21.12,19.43,20.1,21.05,21.57,21.91,22.16,22.28,21.65,23.95
Other Current Assets,1.95,1.99,1.83,1.71,0.92,0.78,1.16,1.09,0.72,0.98,1.11
Total Current Assets,29.1,29.95,28.31,28.72,28.42,29.51,29.88,31.06,30.18,29.01,31.21
Net PP&E,59.33,58.53,59.93,59.71,58.08,57.45,57.59,57.27,58.38,57.43,55.06
Intangibles,9.83,9.34,9.45,9.28,10.68,10.09,9.53,8.89,8.37,8.57,8.69
Other Long-Term Assets,1.74,2.18,2.31,2.29,2.82,2.95,3.0,2.78,3.07,4.99,5.03
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,18.57,17.65,17.84,18.57,18.93,18.75,18.27,18.86,19.28,20.84,22.72
Short-Term Debt,6.89,4.69,2.68,3.15,3.11,6.1,5.75,3.14,2.73,1.69,4.0
Taxes Payable,,,0.8,0.09,0.6,2.49,1.72,1.77,1.54,1.88,0.26
Accrued Liabilities,10.28,11.5,10.97,10.35,9.39,7.86,7.93,8.13,8.55,8.97,10.39
Other Short-Term Liabilities,,0.05,0.26,0.21,0.18,0.16,0.19,0.14,0.28,0.28,1.04
Total Current Liabilities,35.75,33.89,32.55,32.37,32.21,35.36,33.87,32.04,32.38,33.66,38.41
Long-Term Debt,18.22,19.18,19.47,22.52,22.79,18.9,20.4,20.17,19.15,18.11,16.33
Other Long-Term Liabilities,6.52,6.98,6.54,7.17,8.13,8.15,8.49,7.83,8.12,9.1,8.9
Total Liabilities,60.49,60.05,58.56,62.06,63.13,62.41,62.76,60.04,59.64,60.87,63.64
Total Stockholders' Equity,39.51,39.95,41.44,37.94,36.87,37.59,37.24,39.96,40.36,39.13,36.36
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
