Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,16.35,18.76,20.44,20.58,17.98,19.2,12.72,13.08,12.0,8.82,6.02
Accounts Receivable,42.89,39.97,39.6,42.34,34.37,43.1,35.38,34.33,34.65,35.16,31.55
Inventory,,,,,,,,,,,
Other Current Assets,2.45,3.02,2.24,1.76,12.0,2.46,14.54,13.86,14.48,15.6,17.61
Total Current Assets,61.69,61.75,62.28,64.67,64.36,64.76,62.64,61.27,61.13,59.57,55.17
Net PP&E,4.98,4.63,4.0,3.48,3.57,3.74,4.18,4.3,4.51,4.98,5.44
Intangibles,25.94,26.56,27.08,25.77,26.75,27.58,29.39,30.16,29.85,30.62,32.43
Other Long-Term Assets,7.39,7.05,6.64,6.08,5.33,3.92,3.78,4.27,4.51,4.83,6.96
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,33.11,33.18,32.65,34.23,51.62,48.8,53.58,51.45,53.02,50.49,47.47
Short-Term Debt,2.45,2.74,2.52,1.18,4.34,2.88,4.13,0.86,1.21,3.28,6.95
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,21.6,20.8,21.15,23.81,5.34,5.4,5.57,6.24,6.04,6.36,4.7
Other Short-Term Liabilities,,,,,1.08,,,,,1.59,0.18
Total Current Liabilities,57.16,56.72,56.31,59.22,62.38,57.08,63.27,58.55,60.26,61.72,59.29
Long-Term Debt,16.41,14.74,13.36,12.11,9.4,15.27,8.75,12.74,12.8,10.26,10.97
Other Long-Term Liabilities,7.72,8.13,9.96,9.32,9.1,9.71,10.81,12.11,11.32,11.87,12.56
Total Liabilities,81.28,79.58,79.63,80.65,80.88,82.06,82.83,83.4,84.38,83.84,82.82
Total Stockholders' Equity,18.72,20.42,20.37,19.35,19.12,17.94,17.17,16.6,15.62,16.16,17.18
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
