Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,9402.0,10796.0,8956.0,10116.0,11252.0,11224.0,11925.0,12273.0,10776.0,10534.0,11128.0
Gross Margin %,40.9,39.8,43.8,43.1,42.6,43.0,43.4,43.3,44.7,44.4,43.6
Operating Income USD Mil,1786.0,1883.0,1575.0,2082.0,2468.0,2437.0,2625.0,2608.0,2321.0,2238.0,2411.0
Operating Margin %,19.0,17.4,17.6,20.6,21.9,21.7,22.0,21.2,21.5,21.2,21.7
Net Income USD Mil,1177.0,1211.0,1254.0,1195.0,1672.0,1692.0,1755.0,1694.0,1547.0,1500.0,1620.0
Earnings Per Share USD,3.62,3.8,4.01,3.84,5.45,5.61,5.87,5.73,5.35,5.21,5.62
Dividends USD,1.2,1.5,1.6,1.8,2.0,2.2,2.4,2.6,2.86,3.0,3.11
Payout Ratio % *,33.1,39.4,39.9,46.9,43.3,39.2,41.5,40.5,56.9,56.2,55.4
Shares Mil,325.0,318.0,312.0,311.0,307.0,302.0,299.0,296.0,289.0,288.0,288.0
Book Value Per Share * USD,16.41,13.0,17.34,19.05,19.27,20.47,21.11,22.65,14.97,18.41,21.85
Operating Cash Flow USD Mil,1958.0,2038.0,2168.0,1905.0,2455.0,2752.0,2917.0,2868.0,2682.0,2773.0,2931.0
Cap Spending USD Mil,-1376.0,-1611.0,-1352.0,-1388.0,-1797.0,-2180.0,-2020.0,-1689.0,-1541.0,-1465.0,-1381.0
Free Cash Flow USD Mil,582.0,427.0,816.0,517.0,658.0,572.0,897.0,1179.0,1141.0,1308.0,1550.0
Free Cash Flow Per Share * USD,1.79,1.34,2.61,1.66,0.9,1.9,2.48,4.5,3.53,4.81,
Working Capital USD Mil,-242.0,-678.0,410.0,268.0,72.0,313.0,252.0,349.0,733.0,402.0,
