Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,3.09,3.52,2.92,2.2,1.97,3.63,1.78,2.33,4.79,3.99
Accounts Receivable,,6.35,6.42,7.03,7.45,7.61,7.7,8.07,8.07,7.44,7.73
Inventory,,,,,,,,,,,
Other Current Assets,,1.25,1.34,1.52,1.83,1.91,2.41,3.28,2.06,1.89,1.98
Total Current Assets,,10.7,11.27,11.46,11.48,11.49,13.74,13.13,12.47,14.13,13.7
Net PP&E,,4.0,4.06,4.15,4.2,3.84,3.61,3.47,3.2,2.99,2.76
Intangibles,,81.21,80.91,81.11,80.78,81.64,80.26,80.55,82.04,79.98,80.76
Other Long-Term Assets,,4.1,3.75,3.28,3.54,3.03,2.39,2.85,2.29,2.9,2.78
Total Assets,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,6.76,6.85,6.67,1.24,1.03,0.92,1.45,1.41,1.51,6.12
Short-Term Debt,,,,,,,,,,,
Taxes Payable,,0.91,0.56,0.69,0.55,0.38,0.35,0.4,0.27,0.62,1.19
Accrued Liabilities,,,,,3.82,3.72,3.57,2.11,3.71,3.12,
Other Short-Term Liabilities,,5.68,3.71,3.78,6.05,6.88,5.04,7.73,5.63,4.88,2.38
Total Current Liabilities,,13.35,11.12,11.14,11.67,12.01,9.88,11.69,11.02,10.13,9.7
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,,73.44,69.71,68.85,56.39,54.19,53.23,55.42,60.01,63.79,64.62
Total Liabilities,,86.79,80.84,79.99,68.06,66.2,63.11,67.12,71.03,73.92,74.32
Total Stockholders' Equity,,13.21,19.16,20.01,31.94,33.8,36.89,32.88,28.97,26.08,25.68
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
