Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,56.12,49.88,60.46,60.46,61.49,51.27,52.94,49.11,49.55,51.54,52.84
Accounts Receivable,9.11,8.32,7.91,8.65,8.5,9.15,8.47,8.81,9.43,8.5,8.22
Inventory,,,,,,0.54,0.38,,,0.16,0.4
Other Current Assets,3.01,5.32,3.66,2.74,2.7,3.49,3.92,3.61,2.13,2.73,1.51
Total Current Assets,68.24,63.52,72.02,71.84,72.7,64.45,65.71,61.53,61.11,62.93,62.97
Net PP&E,15.94,16.48,11.96,13.41,13.23,12.64,14.9,18.21,19.68,20.44,21.17
Intangibles,10.84,18.37,14.02,12.62,12.3,19.2,15.83,15.41,13.37,11.81,10.35
Other Long-Term Assets,4.98,1.63,1.99,2.13,1.78,3.71,3.56,4.85,5.84,4.82,5.52
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.11,0.56,0.53,0.83,0.81,2.15,2.21,1.31,1.31,1.22,1.41
Short-Term Debt,,,,5.99,1.68,2.72,2.71,1.53,2.19,,
Taxes Payable,,0.26,,0.06,0.27,0.26,0.02,0.07,0.2,0.33,0.12
Accrued Liabilities,6.22,5.74,5.55,5.63,6.0,7.43,7.2,7.21,7.21,7.8,8.72
Other Short-Term Liabilities,0.7,0.69,0.7,4.76,3.52,2.74,2.2,2.69,2.18,0.66,0.67
Total Current Liabilities,8.03,7.25,6.78,17.28,12.28,15.28,14.34,12.82,13.09,10.0,10.92
Long-Term Debt,,,,,4.11,3.19,2.02,2.46,1.35,2.35,2.09
Other Long-Term Liabilities,2.41,3.86,4.31,2.79,3.49,5.07,4.93,5.03,3.95,4.64,4.1
Total Liabilities,10.44,11.11,11.09,20.07,19.88,23.54,21.29,20.31,18.4,16.99,17.11
Total Stockholders' Equity,89.56,88.89,88.91,79.93,80.12,76.46,78.71,79.69,81.6,83.01,82.89
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
