Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,61095.0,63747.0,61897.0,61587.0,65030.0,67224.0,71312.0,74331.0,70074.0,71890.0,74361.0
Gross Margin %,70.9,71.0,70.2,69.5,68.7,67.8,68.7,69.4,69.3,69.8,68.2
Operating Income USD Mil,13661.0,15988.0,16663.0,16527.0,16153.0,15869.0,18377.0,21137.0,18289.0,21165.0,20482.0
Operating Margin %,22.4,25.1,26.9,26.8,24.8,23.6,25.8,28.4,26.1,29.4,27.5
Net Income USD Mil,10576.0,12949.0,12266.0,13334.0,9672.0,10853.0,13831.0,16323.0,15409.0,16540.0,15827.0
Earnings Per Share USD,3.63,4.57,4.4,4.78,3.49,3.86,4.81,5.7,5.48,5.93,5.75
Dividends USD,,,,1.76,2.25,2.4,2.59,2.76,2.95,3.15,2.44
Payout Ratio % *,,,,25.1,54.1,77.4,56.7,45.0,55.6,54.4,42.4
Shares Mil,2910.0,2835.0,2789.0,2789.0,2775.0,2812.0,2877.0,2864.0,2813.0,2789.0,2751.0
Book Value Per Share * USD,10.43,11.67,12.73,15.78,17.39,17.32,18.0,22.64,23.67,25.3,23.45
Operating Cash Flow USD Mil,15249.0,14972.0,16571.0,16385.0,14298.0,15396.0,17414.0,18471.0,19279.0,18767.0,21604.0
Cap Spending USD Mil,-3310.0,-3066.0,-2365.0,-2384.0,-2893.0,-2934.0,-3595.0,-3714.0,-3463.0,-3226.0,-3132.0
Free Cash Flow USD Mil,11939.0,11906.0,14206.0,14001.0,11405.0,12462.0,13819.0,14757.0,15816.0,15541.0,18472.0
Free Cash Flow Per Share * USD,2.88,2.93,3.16,4.22,3.32,3.39,3.38,4.18,4.85,4.53,
Working Capital USD Mil,10108.0,13525.0,17810.0,24235.0,31505.0,21854.0,30732.0,34226.0,32463.0,38745.0,
