Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.22,1.0,0.42,0.4,0.21,0.26,0.32,0.22,0.22,0.21,0.4
Accounts Receivable,7.26,6.59,5.81,5.21,4.89,4.44,4.22,4.21,3.53,3.66,3.37
Inventory,2.29,2.67,2.22,2.05,2.1,1.72,1.7,1.62,1.56,1.47,1.45
Other Current Assets,2.33,1.82,2.39,2.32,2.92,2.01,3.25,3.06,2.14,1.57,1.6
Total Current Assets,12.11,12.08,10.84,9.98,10.11,8.43,9.49,9.1,7.45,6.91,6.83
Net PP&E,71.93,70.87,72.61,75.45,75.78,76.46,77.04,77.81,79.91,79.8,79.94
Intangibles,,,,,,,,,,,
Other Long-Term Assets,15.97,17.05,16.54,14.58,14.11,15.11,13.47,13.09,12.64,13.29,13.23
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.66,4.49,4.25,3.58,3.06,3.08,3.72,3.17,2.46,2.54,2.34
Short-Term Debt,7.44,4.06,3.93,1.91,4.34,2.76,3.07,3.46,3.85,1.57,1.93
Taxes Payable,,,0.91,0.93,0.98,1.07,1.12,1.07,1.12,1.11,1.01
Accrued Liabilities,3.17,3.22,0.62,0.6,0.6,0.52,0.47,0.43,0.43,0.42,0.35
Other Short-Term Liabilities,0.43,0.44,2.12,2.25,3.19,1.99,2.4,2.87,2.53,2.25,2.24
Total Current Liabilities,15.7,12.21,11.83,9.26,12.17,9.43,10.78,11.0,10.39,7.89,7.87
Long-Term Debt,27.35,30.98,30.95,33.82,30.0,32.57,32.18,31.12,31.98,34.49,34.31
Other Long-Term Liabilities,29.31,28.49,28.23,27.02,29.08,29.5,28.83,30.25,30.48,30.84,30.88
Total Liabilities,72.37,71.68,71.01,70.1,71.24,71.5,71.79,72.36,72.86,73.22,73.06
Total Stockholders' Equity,27.63,28.32,28.99,29.9,28.76,28.5,28.21,27.64,27.14,26.78,26.94
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
