Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.51,2.49,4.33,6.8,3.94,4.21,4.2,3.15,2.94,3.08,3.19
Accounts Receivable,7.09,6.44,6.61,6.91,7.79,7.8,7.89,8.55,8.59,9.26,8.8
Inventory,,,,,,,,,,,
Other Current Assets,25.89,14.06,4.3,3.41,4.13,4.6,4.43,4.22,4.59,5.4,6.34
Total Current Assets,35.49,22.99,15.24,17.11,15.86,16.62,16.52,15.92,16.12,17.74,18.34
Net PP&E,3.14,3.25,3.5,3.22,3.02,2.93,2.8,3.4,4.24,4.16,3.77
Intangibles,60.28,69.98,76.12,75.55,77.22,76.25,77.35,77.24,75.72,73.96,73.54
Other Long-Term Assets,1.09,3.78,5.14,4.12,3.9,4.2,3.33,3.45,3.92,4.15,4.35
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.54,1.08,1.24,1.11,9.78,1.14,0.7,0.65,0.79,1.13,0.81
Short-Term Debt,4.31,2.73,3.09,0.04,2.09,0.02,0.97,0.99,0.05,0.98,0.91
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,5.06,5.59,3.8,3.18,,3.11,7.24,9.04,6.64,7.42,7.42
Other Short-Term Liabilities,20.79,12.53,5.73,6.44,4.32,8.73,5.09,5.24,8.6,9.16,8.99
Total Current Liabilities,31.69,21.94,13.86,10.76,16.19,13.0,14.0,15.92,16.08,18.68,18.14
Long-Term Debt,41.32,41.26,40.37,40.49,37.62,37.99,39.48,39.75,45.91,45.85,49.2
Other Long-Term Liabilities,6.16,9.0,9.66,9.76,8.07,8.79,8.83,9.05,9.53,9.39,9.62
Total Liabilities,79.17,72.2,63.88,61.01,61.89,59.79,62.31,64.71,71.52,73.92,76.96
Total Stockholders' Equity,20.83,27.8,36.12,38.99,38.11,40.21,37.69,35.29,28.48,26.08,23.04
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
