Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,81.86,70.85,46.05,22.89,39.81,14.81,23.52,23.26,18.63,14.89,15.85
Accounts Receivable,1.96,5.26,8.85,8.55,7.78,33.32,30.22,26.28,26.17,23.11,22.66
Inventory,,,,,1.02,1.38,2.38,3.33,4.25,5.73,7.37
Other Current Assets,1.39,1.71,2.51,1.39,0.71,8.47,4.77,3.12,2.91,1.87,1.65
Total Current Assets,85.21,77.82,57.41,32.83,49.33,57.97,60.89,55.98,51.97,45.6,47.53
Net PP&E,6.23,13.11,35.03,31.89,27.8,18.26,17.86,25.16,28.42,29.88,26.14
Intangibles,,,,,,,,,,,
Other Long-Term Assets,8.56,9.07,7.56,35.28,22.87,23.77,21.25,18.86,19.61,24.52,26.33
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.87,0.94,2.51,,2.1,1.87,2.1,2.57,2.51,1.94,1.77
Short-Term Debt,21.61,,,,,,,,,,
Taxes Payable,,,,,,,,,,3.38,1.46
Accrued Liabilities,3.08,3.0,3.94,4.72,5.13,3.48,6.4,9.94,8.97,7.29,6.18
Other Short-Term Liabilities,4.75,8.55,6.17,5.29,3.98,2.51,1.62,4.4,2.98,5.2,3.68
Total Current Liabilities,30.3,12.49,12.62,10.01,11.2,7.86,10.13,16.91,14.46,17.8,13.09
Long-Term Debt,,0.76,,,20.78,14.25,10.85,3.79,,,
Other Long-Term Liabilities,20.54,24.24,33.85,41.54,31.32,18.03,12.87,13.64,20.38,18.39,17.37
Total Liabilities,50.84,37.49,46.47,51.55,63.3,40.14,33.85,34.34,34.84,36.2,30.45
Total Stockholders' Equity,49.16,62.51,53.53,48.45,36.7,59.86,66.15,65.66,65.16,63.8,69.55
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
