Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,47.44,34.7,38.55,47.5,46.28,46.38,50.6,41.13,41.42,44.63,35.49
Accounts Receivable,19.89,20.86,13.33,12.98,13.18,16.39,16.27,14.1,13.2,13.44,14.62
Inventory,,,,,,,,,,,
Other Current Assets,6.02,11.01,15.1,12.55,12.93,12.32,10.02,16.51,12.91,12.77,13.15
Total Current Assets,73.35,66.58,66.97,73.03,72.39,75.08,76.89,71.74,67.52,70.83,63.26
Net PP&E,4.64,4.74,6.01,4.97,4.2,3.79,3.69,4.01,4.15,3.93,4.31
Intangibles,8.95,10.69,9.69,13.66,15.7,14.16,12.6,14.59,16.56,13.27,19.9
Other Long-Term Assets,13.06,17.99,17.32,8.34,7.71,6.97,6.82,9.66,11.77,11.97,12.53
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.03,12.27,10.28,10.27,3.37,2.86,2.37,2.73,2.9,3.26,3.45
Short-Term Debt,1.28,2.31,,,,,,,,,
Taxes Payable,,,,,0.77,,0.67,0.68,0.88,0.86,1.7
Accrued Liabilities,17.12,15.94,16.4,14.88,20.09,19.85,20.31,20.26,20.46,20.77,19.31
Other Short-Term Liabilities,15.33,15.66,15.72,10.41,15.22,16.65,19.01,16.92,14.29,13.69,13.71
Total Current Liabilities,37.75,46.18,42.4,35.57,39.44,39.37,42.35,40.59,38.53,38.59,38.18
Long-Term Debt,2.39,0.3,0.29,,,,,9.75,20.2,27.74,25.79
Other Long-Term Liabilities,11.49,23.76,10.41,5.53,5.69,5.13,5.1,5.37,4.21,3.39,5.24
Total Liabilities,51.64,70.24,53.1,41.1,45.12,44.5,47.45,55.7,62.95,69.71,69.2
Total Stockholders' Equity,48.36,29.76,46.9,58.9,54.88,55.5,52.55,44.3,37.05,30.29,30.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
