Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,7.69,11.24,15.89,16.36,18.39,18.37,20.19,21.3,20.8,25.31,20.78
Accounts Receivable,52.36,50.14,46.03,44.94,42.87,41.95,41.5,39.66,9.31,11.57,9.85
Inventory,1.62,1.71,1.53,1.53,1.92,2.24,2.64,2.73,4.57,6.12,6.84
Other Current Assets,,,,,,,,,,,1.62
Total Current Assets,61.67,63.09,63.45,62.84,63.18,62.56,64.32,63.69,34.67,43.01,39.09
Net PP&E,9.79,9.84,8.85,8.81,9.17,10.18,10.48,10.24,10.98,13.83,14.31
Intangibles,12.23,12.13,9.91,9.91,11.81,12.47,14.01,13.99,16.7,23.79,28.7
Other Long-Term Assets,16.3,14.94,17.79,18.44,15.85,14.8,11.19,12.08,37.65,19.37,17.9
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.69,2.61,2.52,1.95,2.29,2.29,2.51,2.52,2.78,3.95,3.94
Short-Term Debt,24.53,24.28,17.02,17.1,20.68,16.12,13.24,12.22,10.31,8.41,7.44
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,1.24,1.57,,1.48,1.45,1.59,2.0,1.93,3.2,4.59,4.49
Other Short-Term Liabilities,2.48,2.7,3.42,5.18,5.93,6.72,7.72,8.48,5.23,5.39,5.16
Total Current Liabilities,30.94,31.16,22.96,25.72,30.34,26.71,25.47,25.16,21.52,22.34,21.03
Long-Term Debt,40.11,41.37,43.26,41.65,36.53,37.52,36.97,34.38,29.93,28.89,28.64
Other Long-Term Liabilities,14.42,14.34,18.78,16.8,16.89,17.82,17.67,20.7,28.6,28.01,30.2
Total Liabilities,85.47,86.88,85.0,84.17,83.77,82.05,80.11,80.23,80.05,79.24,79.87
Total Stockholders' Equity,14.53,13.12,15.0,15.83,16.23,17.95,19.89,19.77,19.95,20.76,20.13
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
