Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,3.57,0.95,5.68,4.23,8.8,9.29,2.72,2.29,2.46,1.9,30.22
Accounts Receivable,2.46,7.44,7.39,7.99,8.75,8.74,9.15,8.95,9.32,9.49,7.14
Inventory,,,,,,,,,,,
Other Current Assets,0.31,2.18,2.25,3.53,2.86,3.09,4.21,4.31,4.58,5.1,3.59
Total Current Assets,6.34,10.58,15.32,15.75,20.41,21.11,16.09,15.56,16.36,16.49,40.95
Net PP&E,4.6,3.77,3.75,3.62,3.18,3.0,3.43,3.46,3.08,3.06,2.26
Intangibles,32.56,72.56,75.63,75.18,68.53,66.24,72.03,76.06,75.16,73.87,51.32
Other Long-Term Assets,56.51,13.1,5.3,5.45,7.88,9.64,8.45,4.93,5.4,6.57,5.47
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.45,0.68,0.57,0.79,0.44,0.55,0.94,1.41,1.78,1.53,1.09
Short-Term Debt,,4.37,1.41,0.18,0.22,0.24,0.11,6.91,0.75,0.52,0.14
Taxes Payable,,,0.35,,0.32,0.46,0.47,0.75,0.19,0.22,0.15
Accrued Liabilities,1.17,3.34,2.79,3.07,3.01,3.68,4.73,4.85,4.67,5.51,3.6
Other Short-Term Liabilities,0.43,1.82,2.08,3.09,2.27,2.39,2.38,2.35,2.57,2.13,1.99
Total Current Liabilities,2.05,10.21,7.2,7.12,6.26,7.32,8.64,16.26,9.95,9.91,6.98
Long-Term Debt,,31.77,31.53,32.65,35.42,40.31,43.27,37.75,48.01,49.76,63.41
Other Long-Term Liabilities,21.33,5.22,4.65,3.73,3.62,3.72,6.72,11.0,7.68,7.55,4.8
Total Liabilities,23.38,47.2,43.38,43.51,45.3,51.35,58.64,65.02,65.64,67.21,75.2
Total Stockholders' Equity,76.62,52.8,56.62,56.49,54.7,48.65,41.36,34.98,34.36,32.79,24.8
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
