Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,13310.0,13388.0,11791.0,12515.0,13378.0,13649.0,13983.0,13996.0,12961.0,13609.0,14293.0
Gross Margin %,36.9,36.8,38.6,37.5,36.2,34.9,34.8,35.7,36.5,37.6,39.4
Operating Income USD Mil,2254.0,2234.0,1887.0,2116.0,2028.0,1851.0,1079.0,2299.0,2045.0,2296.0,2549.0
Operating Margin %,16.9,16.7,16.0,16.9,15.2,13.6,7.7,16.4,15.8,16.9,17.8
Net Income USD Mil,1163.0,1087.0,994.0,953.0,961.0,817.0,98.0,1298.0,753.0,1182.0,1381.0
Earnings Per Share USD,2.23,2.19,2.01,1.98,2.04,1.76,0.21,2.79,1.65,2.65,3.12
Dividends USD,0.96,1.08,1.16,1.26,1.36,1.42,1.46,1.5,1.54,1.64,1.69
Payout Ratio % *,43.0,49.3,57.7,63.6,65.1,80.7,73.2,647.8,66.0,64.8,54.0
Shares Mil,522.0,495.0,494.0,482.0,471.0,464.0,470.0,466.0,455.0,447.0,444.0
Book Value Per Share * USD,11.58,12.41,12.93,13.18,12.92,13.69,14.45,11.7,11.71,12.2,12.16
Operating Cash Flow USD Mil,2439.0,2575.0,2362.0,2275.0,2469.0,2295.0,2455.0,2331.0,2498.0,2960.0,3098.0
Cap Spending USD Mil,-1211.0,-1221.0,-1179.0,-1104.0,-1324.0,-1510.0,-1271.0,-1151.0,-1233.0,-1339.0,-1358.0
Free Cash Flow USD Mil,1228.0,1354.0,1183.0,1171.0,1145.0,785.0,1184.0,1180.0,1265.0,1621.0,1740.0
Free Cash Flow Per Share * USD,2.35,2.73,2.4,2.43,2.28,1.69,2.63,2.52,2.74,3.13,
Working Capital USD Mil,-118.0,-701.0,109.0,-3.0,-689.0,-613.0,-515.0,156.0,-165.0,-418.0,
