Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,5.32,7.66,7.98,6.98,9.7,5.39,5.1,5.73,8.09,7.98,8.85
Accounts Receivable,16.21,16.14,15.19,15.26,15.53,12.41,12.65,12.4,12.18,12.8,13.63
Inventory,14.84,14.77,13.47,13.28,12.69,10.67,11.4,10.81,9.3,9.7,10.46
Other Current Assets,4.07,4.11,4.96,4.68,3.99,4.65,3.35,3.66,0.96,1.35,1.28
Total Current Assets,40.44,42.68,41.59,40.19,41.92,33.12,32.5,32.6,30.53,31.83,34.21
Net PP&E,11.54,11.24,11.41,10.74,10.09,9.53,9.79,10.16,9.98,10.21,10.13
Intangibles,36.42,33.3,35.57,37.24,35.57,48.08,48.23,47.49,49.04,47.65,45.53
Other Long-Term Assets,11.6,12.78,11.42,11.83,12.42,9.27,9.49,9.75,10.45,10.32,10.12
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,9.27,9.25,8.31,8.9,9.06,7.19,7.69,7.63,7.86,8.34,9.34
Short-Term Debt,2.08,3.79,2.67,0.48,1.24,1.82,0.55,2.11,1.26,2.46,3.32
Taxes Payable,,,,,0.89,1.28,0.6,0.65,2.86,0.43,
Accrued Liabilities,20.66,21.37,21.15,20.94,19.1,15.85,11.8,14.69,13.88,9.13,13.55
Other Short-Term Liabilities,,,,,,0.47,4.53,,,4.07,
Total Current Liabilities,32.01,34.42,32.12,30.31,30.29,26.6,25.17,25.08,25.85,24.42,26.2
Long-Term Debt,14.69,16.53,14.81,17.11,15.46,24.16,21.79,19.58,22.08,24.19,24.97
Other Long-Term Liabilities,14.17,20.86,17.08,16.01,18.64,20.26,17.87,21.15,20.79,20.65,17.81
Total Liabilities,60.87,71.81,64.01,63.44,64.39,71.02,64.83,65.81,68.73,69.26,68.99
Total Stockholders' Equity,39.13,28.19,35.99,36.56,35.61,28.98,35.17,34.19,31.27,30.74,31.01
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
