Key Financials THB,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue THB Mil,102.0,114.0,102.0,97.0,110.0,179.0,183.0,195.0,210.0,228.0,307.0
Gross Margin %,,,,,,100.0,,,,,
Operating Income THB Mil,,,,,,50.0,,,64.0,43.0,150.0
Operating Margin %,,,,,,27.9,,,30.6,18.8,48.9
Net Income THB Mil,-9.0,30.0,28.0,27.0,22.0,38.0,46.0,55.0,50.0,25.0,121.0
Earnings Per Share THB,-0.01,0.05,0.07,0.07,0.05,0.09,0.11,0.09,0.08,0.03,0.14
Dividends THB,,0.01,0.04,0.06,0.04,0.09,0.07,0.08,,,0.05
Payout Ratio % *,,,27.6,140.5,59.2,112.0,76.8,87.9,,,36.2
Shares Mil,615.0,615.0,410.0,410.0,410.0,410.0,422.0,595.0,595.0,757.0,875.0
Book Value Per Share * THB,0.72,0.72,0.76,1.13,1.15,1.14,2.29,1.13,1.22,1.36,1.47
Operating Cash Flow THB Mil,57.0,76.0,157.0,-51.0,-406.0,-311.0,60.0,-66.0,19.0,-478.0,-1296.0
Cap Spending THB Mil,-11.0,-1.0,-10.0,-7.0,-12.0,-11.0,-5.0,-13.0,-5.0,-7.0,-15.0
Free Cash Flow THB Mil,47.0,75.0,147.0,-59.0,-419.0,-322.0,55.0,-79.0,13.0,-485.0,-1311.0
Free Cash Flow Per Share * THB,0.07,0.07,0.12,0.05,-1.08,-0.82,-0.55,-0.11,-0.08,-0.3,
Working Capital THB Mil,,,,,,,110.0,3.0,30.0,61.0,
