Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,,,,119.0,170.0,189.0,191.0,185.0,136.0,135.0,144.0
Gross Margin %,,,,21.4,22.9,15.2,16.9,17.8,15.0,12.7,12.4
Operating Income EUR Mil,,,-0.0,12.0,16.0,7.0,8.0,9.0,2.0,-4.0,-10.0
Operating Margin %,,,,9.9,9.6,3.8,4.1,4.8,1.3,-3.2,-7.2
Net Income EUR Mil,,,0.0,9.0,15.0,3.0,8.0,4.0,-1.0,-31.0,-12.0
Earnings Per Share EUR,,,0.03,2.96,0.7,0.09,0.22,0.13,-0.03,-1.56,-0.6
Dividends EUR,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,9.0,3.0,21.0,34.0,34.0,34.0,34.0,20.0,20.0
Book Value Per Share * EUR,,,,-0.02,,2.5,2.87,2.96,2.98,4.28,3.73
Operating Cash Flow EUR Mil,,,-0.0,-1.0,19.0,2.0,18.0,12.0,9.0,-2.0,1.0
Cap Spending EUR Mil,,,,-0.0,-4.0,-7.0,-10.0,-5.0,-4.0,-7.0,-4.0
Free Cash Flow EUR Mil,,,-0.0,-1.0,14.0,-6.0,8.0,7.0,5.0,-9.0,-3.0
Free Cash Flow Per Share * EUR,,,,,,-0.16,0.22,0.25,0.11,-0.11,
Working Capital EUR Mil,,,-0.0,189.0,48.0,44.0,51.0,58.0,64.0,58.0,
