Key Financials GBP,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue GBP Mil,,,,,,,,85.0,86.0,93.0,93.0
Gross Margin %,,,,,,,,28.4,27.6,28.6,28.6
Operating Income GBP Mil,,,,,,,,2.0,1.0,1.0,1.0
Operating Margin %,,,,,,,,2.0,1.3,1.2,1.2
Net Income GBP Mil,,,,,,,,-2.0,-3.0,-4.0,-4.0
Earnings Per Share GBP,,,,,,,,-0.01,-0.02,-0.03,-0.03
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,,,,,,,,115.0,115.0,115.0,115.0
Book Value Per Share * GBP,,,,,,,,,,,0.01
Operating Cash Flow GBP Mil,,,,,,,,5.0,6.0,0.0,0.0
Cap Spending GBP Mil,,,,,,,,-8.0,-7.0,-4.0,-4.0
Free Cash Flow GBP Mil,,,,,,,,-3.0,-1.0,-4.0,-4.0
Free Cash Flow Per Share * GBP,,,,,,,,,,,
Working Capital GBP Mil,,,,,,,,-6.0,-5.0,-3.0,
