Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,157.0,199.0,216.0,216.0,192.0,192.0,269.0,257.0,255.0,257.0,266.0
Gross Margin %,73.9,79.9,,99.1,83.0,61.5,71.5,71.9,-71.5,70.2,68.3
Operating Income EUR Mil,192.0,113.0,,164.0,158.0,191.0,137.0,139.0,-180.0,172.0,132.0
Operating Margin %,122.7,56.6,,75.8,82.3,99.3,50.8,53.9,-70.5,67.2,49.6
Net Income EUR Mil,152.0,-5.0,32.0,84.0,119.0,98.0,59.0,-53.0,104.0,97.0,121.0
Earnings Per Share EUR,12.23,-0.39,2.26,5.52,7.03,5.94,3.14,-3.3,4.87,4.18,5.21
Dividends EUR,,,,,5.41,5.03,6.36,,5.38,,
Payout Ratio % *,,,,,63.2,,186.3,,147.1,,
Shares Mil,12.0,14.0,14.0,15.0,17.0,16.0,18.0,18.0,21.0,21.0,21.0
Book Value Per Share * EUR,105.21,111.93,102.39,84.82,95.82,,93.02,87.37,89.33,89.96,87.93
Operating Cash Flow EUR Mil,128.0,142.0,67.0,152.0,149.0,150.0,153.0,149.0,170.0,144.0,168.0
Cap Spending EUR Mil,-2.0,-5.0,-15.0,-51.0,-195.0,-0.0,-1.0,-0.0,-0.0,-1.0,-1.0
Free Cash Flow EUR Mil,126.0,137.0,52.0,101.0,-46.0,150.0,152.0,149.0,170.0,143.0,168.0
Free Cash Flow Per Share * EUR,9.55,10.82,10.73,5.43,2.36,,8.84,8.49,7.77,6.76,
Working Capital EUR Mil,-330.0,-282.0,-312.0,-389.0,-298.0,-425.0,-471.0,-498.0,-474.0,-553.0,
