Key Financials EUR,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue EUR Mil,30874.0,33930.0,31178.0,34003.0,37646.0,39183.0,40740.0,39043.0,39161.0,38547.0,39583.0
Gross Margin %,76.6,75.7,77.9,43.1,62.5,75.9,55.4,56.6,78.2,79.1,78.4
Operating Income EUR Mil,3010.0,3276.0,3110.0,3429.0,3601.0,3667.0,3767.0,4243.0,3715.0,4118.0,4258.0
Operating Margin %,9.8,9.7,10.0,10.1,9.6,9.4,9.2,10.9,9.5,10.7,10.8
Net Income EUR Mil,1578.0,1699.0,1703.0,1900.0,1904.0,1917.0,1962.0,2486.0,2046.0,2505.0,2615.0
Earnings Per Share EUR,3.01,3.3,3.21,3.3,3.48,3.54,3.54,4.43,3.66,4.48,4.67
Dividends EUR,2.27,1.57,1.62,1.62,1.7,1.77,1.77,1.77,1.79,1.9,2.1
Payout Ratio % *,,,,,,,,,,47.9,44.9
Shares Mil,484.0,482.0,497.0,537.0,542.0,542.0,554.0,562.0,558.0,560.0,560.0
Book Value Per Share * EUR,,,,,,,,,,27.12,29.41
Operating Cash Flow EUR Mil,3584.0,4140.0,4100.0,3385.0,3937.0,3864.0,3648.0,3633.0,4522.0,4346.0,4390.0
Cap Spending EUR Mil,-2085.0,-2159.0,-2120.0,-1531.0,-1864.0,-871.0,-777.0,-1507.0,-1635.0,-1530.0,-1696.0
Free Cash Flow EUR Mil,1498.0,1982.0,1979.0,1854.0,2074.0,2994.0,2871.0,2126.0,2887.0,2816.0,2694.0
Free Cash Flow Per Share * EUR,,,,,,,,,,4.62,
Working Capital EUR Mil,-1883.0,-3077.0,-1813.0,-1954.0,-2364.0,-3399.0,-4507.0,-2972.0,-4537.0,-4900.0,
