Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,,,,,,,3.73,9.3,9.43
Accounts Receivable,,,,,,,,,3.71,7.24,7.92
Inventory,,,,,,,,,6.26,11.24,12.75
Other Current Assets,,,,,,,,,8.1,1.62,1.86
Total Current Assets,,,,,,,,,21.8,29.4,31.96
Net PP&E,,,,,,,,,14.87,27.44,28.73
Intangibles,,,,,,,,,17.42,30.62,27.27
Other Long-Term Assets,,,,,,,,,45.91,12.53,12.04
Total Assets,,,,,,,,,100.0,100.0,100.0
Accounts Payable,,,,,,,,,4.14,8.7,8.61
Short-Term Debt,,,,,,,,,0.11,0.2,0.29
Taxes Payable,,,,,,,,,0.28,0.42,0.38
Accrued Liabilities,,,,,,,,,1.59,2.75,2.5
Other Short-Term Liabilities,,,,,,,,,8.16,1.64,2.14
Total Current Liabilities,,,,,,,,,14.29,13.72,13.92
Long-Term Debt,,,,,,,,,24.09,40.14,35.36
Other Long-Term Liabilities,,,,,,,,,28.6,20.61,19.81
Total Liabilities,,,,,,,,,66.98,74.47,69.08
Total Stockholders' Equity,,,,,,,,,33.02,25.53,30.92
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
