Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.64,1.92,1.29,1.72,1.39,2.51,1.44,1.81,2.26,1.91,2.01
Accounts Receivable,16.21,15.57,15.3,16.07,16.85,16.64,18.06,18.25,17.98,17.26,16.74
Inventory,2.96,3.04,3.32,3.76,3.92,3.87,4.09,4.1,4.39,4.45,4.33
Other Current Assets,5.02,5.43,7.34,7.46,4.73,4.63,4.29,4.46,3.55,3.29,3.37
Total Current Assets,25.83,25.95,27.26,29.01,26.89,27.65,27.88,28.62,28.19,26.92,26.44
Net PP&E,47.63,47.48,47.35,47.59,47.71,46.96,47.24,46.01,45.85,48.44,48.5
Intangibles,10.94,10.63,10.68,11.29,19.52,19.73,20.47,20.56,20.56,19.86,20.59
Other Long-Term Assets,15.6,15.94,14.71,12.11,5.87,5.66,4.41,4.8,5.4,4.79,4.47
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.7,5.64,6.05,6.44,5.94,6.3,6.25,6.52,6.63,6.87,6.48
Short-Term Debt,1.28,1.66,3.51,2.48,5.23,5.11,2.73,1.08,0.71,0.64,0.57
Taxes Payable,,,,,,0.84,,,0.85,0.84,
Accrued Liabilities,9.04,8.8,8.32,8.97,9.48,9.74,10.77,9.96,8.66,8.94,8.66
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,16.02,16.1,17.87,17.9,20.65,21.98,19.75,17.56,16.85,17.28,15.7
Long-Term Debt,112.38,109.49,102.87,115.85,95.34,97.93,95.7,93.94,92.4,92.3,91.66
Other Long-Term Liabilities,15.46,16.64,16.49,16.25,14.71,14.49,13.24,13.8,13.96,12.04,11.61
Total Liabilities,143.86,142.24,137.24,150.0,130.7,134.41,128.68,125.3,123.21,121.63,118.98
Total Stockholders' Equity,-43.86,-42.24,-37.24,-50.0,-30.7,-34.41,-28.68,-25.3,-23.21,-21.63,-18.98
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
