Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,17120.0,50706.0,30828.0,41151.0,48183.0,45352.0,44062.0,45608.0,32735.0,29183.0,33096.0
Gross Margin %,11.2,3.8,4.7,9.8,11.3,12.7,13.9,14.6,21.5,20.5,18.6
Operating Income USD Mil,934.0,-5928.0,317.0,2944.0,4337.0,4676.0,5102.0,5736.0,6122.0,5060.0,5167.0
Operating Margin %,5.5,-11.7,1.0,7.2,9.0,10.3,11.6,12.6,18.7,17.3,15.6
Net Income USD Mil,661.0,-7321.0,-2865.0,10151.0,2147.0,2848.0,3857.0,4174.0,4476.0,3836.0,3748.0
Earnings Per Share USD,,,,2.78,3.74,4.92,6.75,7.99,9.59,9.13,9.36
Dividends USD,,,,,0.55,1.45,2.0,2.7,3.04,3.33,3.5
Payout Ratio % *,,,,,,29.2,31.0,30.7,31.5,36.0,37.2
Shares Mil,,,564.0,566.0,572.0,578.0,571.0,521.0,466.0,420.0,402.0
Book Value Per Share * USD,,,,20.43,24.63,19.47,21.64,20.21,16.65,15.05,18.57
Operating Cash Flow USD Mil,1180.0,1090.0,-787.0,2021.0,2869.0,4787.0,4835.0,6048.0,5842.0,5606.0,5437.0
Cap Spending USD Mil,-411.0,-1000.0,-779.0,-692.0,-1050.0,-1060.0,-1561.0,-1499.0,-1440.0,-2243.0,-1713.0
Free Cash Flow USD Mil,769.0,90.0,-1566.0,1329.0,1819.0,3727.0,3274.0,4549.0,4402.0,3363.0,3724.0
Free Cash Flow Per Share * USD,,,,2.35,4.47,6.46,5.19,7.94,11.13,6.73,
Working Capital USD Mil,,-21163.0,-2101.0,9023.0,6417.0,7190.0,9089.0,6208.0,5440.0,5059.0,
