Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,2.76,1.95,1.46,1.14,1.16,1.19,1.15,0.84,3.56,1.55,1.2
Accounts Receivable,1.28,1.25,0.98,0.66,0.68,1.86,1.96,1.23,1.05,0.77,0.8
Inventory,0.97,0.94,0.87,0.85,0.97,1.0,0.93,0.92,0.84,0.83,0.88
Other Current Assets,0.78,0.8,0.81,0.66,0.58,0.6,0.79,0.81,0.8,1.2,1.21
Total Current Assets,5.78,4.94,4.12,3.32,3.4,4.65,4.83,3.8,6.25,4.34,4.09
Net PP&E,77.94,79.21,81.09,82.6,82.96,82.06,82.05,82.9,81.27,83.29,84.08
Intangibles,14.64,13.65,13.02,12.38,12.04,11.46,11.23,11.12,10.83,10.75,10.34
Other Long-Term Assets,1.65,2.19,1.76,1.7,1.6,1.83,1.9,2.17,1.66,1.63,1.49
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,1.64,1.53,1.54,1.34,1.49,1.4,1.59,1.58,1.6,1.83,1.57
Short-Term Debt,7.43,4.81,2.58,3.61,3.36,4.43,3.66,4.36,3.5,2.82,3.56
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,3.96,3.42,2.37,2.92,2.91,2.16,2.32,3.23,4.29,4.47,4.54
Other Short-Term Liabilities,8.21,7.54,6.99,7.48,8.04,10.76,9.18,8.33,8.34,9.05,9.94
Total Current Liabilities,21.24,17.31,13.48,15.35,15.8,18.74,16.76,17.51,17.73,18.16,19.61
Long-Term Debt,18.47,23.16,24.7,21.37,20.84,18.3,20.18,18.63,18.89,21.46,19.0
Other Long-Term Liabilities,1.89,2.35,2.0,1.85,1.67,1.85,1.84,2.43,2.8,2.34,1.92
Total Liabilities,41.6,42.82,40.18,38.57,38.32,38.9,38.77,38.56,39.42,41.96,40.53
Total Stockholders' Equity,58.4,57.18,59.82,61.43,61.68,61.1,61.23,61.44,60.58,58.04,59.47
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
