Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,1212.0,1337.0,1360.0,1381.0,1536.0,1756.0,1962.0,2057.0,2242.0,2423.0,2662.0
Gross Margin %,80.7,80.6,79.9,79.6,77.8,77.6,76.9,77.8,76.9,77.6,76.4
Operating Income USD Mil,118.0,219.0,208.0,184.0,213.0,190.0,246.0,249.0,266.0,317.0,339.0
Operating Margin %,9.7,16.4,15.3,13.3,13.9,10.8,12.6,12.1,11.9,13.1,12.7
Net Income USD Mil,130.0,190.0,168.0,237.0,221.0,182.0,248.0,259.0,226.0,267.0,329.0
Earnings Per Share USD,0.87,1.29,1.15,1.56,1.47,1.21,1.58,1.64,1.43,1.73,2.13
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,150.0,148.0,146.0,152.0,150.0,150.0,157.0,158.0,158.0,155.0,155.0
Book Value Per Share * USD,,10.61,12.0,13.81,14.66,16.58,17.75,19.21,20.23,20.61,22.75
Operating Cash Flow USD Mil,433.0,331.0,239.0,341.0,440.0,486.0,497.0,551.0,495.0,587.0,597.0
Cap Spending USD Mil,-47.0,-42.0,-42.0,-42.0,-60.0,-57.0,-69.0,-107.0,-91.0,-71.0,-73.0
Free Cash Flow USD Mil,386.0,289.0,197.0,299.0,380.0,429.0,428.0,444.0,405.0,516.0,524.0
Free Cash Flow Per Share * USD,,1.96,1.73,1.74,2.53,2.85,2.16,3.11,2.52,3.34,
Working Capital USD Mil,296.0,413.0,649.0,326.0,329.0,-112.0,225.0,118.0,-15.0,2.0,
