Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,34.0,4.0,9.0,170.0,94.0,297.0,355.0,511.0,754.0,1106.0,1419.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,99.9,99.8,99.4,96.4,94.7,94.6
Operating Income USD Mil,-85.0,-159.0,-140.0,14.0,-143.0,1.0,-16.0,-5.0,51.0,145.0,-69.0
Operating Margin %,-247.6,,,8.3,-151.6,0.4,-4.5,-0.9,6.7,13.1,-4.9
Net Income USD Mil,-87.0,-179.0,-212.0,-32.0,-187.0,-44.0,-83.0,-48.0,7.0,104.0,-155.0
Earnings Per Share USD,-1.03,-1.99,-2.06,-0.26,-1.49,-0.34,-0.56,-0.29,0.03,0.54,-0.77
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,84.0,90.0,103.0,122.0,125.0,130.0,148.0,168.0,187.0,194.0,201.0
Book Value Per Share * USD,-1.89,-2.27,-0.86,-0.71,-1.43,-1.31,0.18,-0.52,0.48,1.96,8.33
Operating Cash Flow USD Mil,-93.0,-141.0,12.0,98.0,-162.0,-95.0,9.0,26.0,87.0,305.0,91.0
Cap Spending USD Mil,-1.0,-1.0,-0.0,-4.0,-4.0,-3.0,-4.0,-28.0,-26.0,-120.0,-102.0
Free Cash Flow USD Mil,-94.0,-142.0,12.0,94.0,-166.0,-98.0,5.0,-2.0,61.0,184.0,-11.0
Free Cash Flow Per Share * USD,-1.11,-1.58,0.12,0.77,-0.8,-0.75,-0.03,-0.33,0.21,0.85,
Working Capital USD Mil,228.0,155.0,523.0,342.0,175.0,173.0,448.0,478.0,674.0,721.0,
