Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,16.22,10.71,19.57,13.27,15.81,6.83,8.43,14.59,21.65,5.96,8.9
Accounts Receivable,2.75,2.85,2.45,2.62,2.4,2.67,2.47,3.36,3.17,4.32,3.26
Inventory,,,,,,,,,,,
Other Current Assets,0.58,1.93,1.94,1.61,3.15,0.93,0.96,1.13,6.66,1.35,1.19
Total Current Assets,19.56,15.5,23.96,17.49,21.36,10.43,11.86,19.07,31.47,11.64,13.35
Net PP&E,53.29,60.79,59.51,59.6,55.76,63.9,61.28,63.94,54.13,57.1,49.19
Intangibles,23.38,16.08,14.22,20.8,17.55,20.29,16.37,14.71,12.43,29.39,35.84
Other Long-Term Assets,3.77,7.62,2.31,2.11,5.33,5.38,10.49,2.28,1.96,1.87,1.62
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,0.68,0.75,0.49,,0.4,0.45,0.4,0.39,0.48,0.48,
Short-Term Debt,0.93,2.91,1.94,0.45,5.77,0.85,0.71,0.76,8.85,0.54,0.46
Taxes Payable,,0.35,0.48,,0.75,0.77,0.43,0.53,0.36,1.06,
Accrued Liabilities,5.99,5.85,5.98,2.06,4.42,4.19,3.54,4.21,4.03,4.23,1.12
Other Short-Term Liabilities,1.17,1.99,1.5,4.64,1.2,2.52,2.2,2.35,2.28,1.86,4.73
Total Current Liabilities,8.78,11.84,10.38,7.15,12.54,8.79,7.29,8.23,15.99,8.16,6.32
Long-Term Debt,45.47,42.17,41.64,39.72,40.85,39.09,42.36,43.88,41.3,41.08,45.16
Other Long-Term Liabilities,8.43,9.52,9.06,10.85,12.87,14.04,17.52,18.84,16.2,16.13,12.79
Total Liabilities,62.67,63.54,61.08,57.72,66.26,61.92,67.18,70.96,73.49,65.37,64.27
Total Stockholders' Equity,37.33,36.46,38.92,42.28,33.74,38.08,32.82,29.04,26.51,34.63,35.73
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
