Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,30.74,31.21,28.23,26.64,29.55,32.13,23.71,32.69,26.97,52.88,22.41
Accounts Receivable,4.69,4.24,4.42,5.42,5.62,4.97,5.42,4.7,5.01,5.31,4.93
Inventory,15.19,12.72,14.73,16.01,16.25,14.86,14.36,10.39,9.39,8.05,11.44
Other Current Assets,10.32,6.29,5.43,7.04,6.71,6.68,7.15,5.92,3.05,1.55,1.76
Total Current Assets,60.94,54.45,52.8,55.12,58.13,58.64,50.65,53.71,44.41,67.79,40.54
Net PP&E,20.42,23.12,22.23,22.1,20.76,19.67,19.49,15.7,18.79,11.86,11.55
Intangibles,11.39,11.43,12.79,12.93,12.43,10.05,10.13,17.02,17.36,14.08,42.44
Other Long-Term Assets,7.26,10.99,12.17,9.85,8.68,11.65,19.73,13.58,19.44,6.27,5.47
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.93,4.02,4.28,4.5,5.01,5.06,4.2,4.77,3.82,3.34,3.93
Short-Term Debt,0.01,0.31,0.03,0.03,0.72,0.01,3.84,0.24,0.31,,10.74
Taxes Payable,,,,,,,,,,,
Accrued Liabilities,13.89,13.59,17.13,15.5,14.64,12.69,11.63,10.87,10.85,7.96,8.61
Other Short-Term Liabilities,,,,2.48,2.76,2.69,2.53,2.0,1.92,1.63,
Total Current Liabilities,19.83,17.92,21.44,22.5,23.13,20.46,22.2,17.89,16.9,12.93,23.27
Long-Term Debt,0.11,0.98,0.98,0.89,0.03,0.01,,18.84,17.6,27.09,25.33
Other Long-Term Liabilities,13.39,14.96,16.56,15.41,12.64,11.32,11.72,9.93,10.67,8.51,11.96
Total Liabilities,33.34,33.86,38.99,38.8,35.8,31.79,33.92,46.65,45.17,48.52,60.56
Total Stockholders' Equity,66.66,66.14,61.01,61.2,64.2,68.21,66.08,53.35,54.83,51.48,39.44
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
