Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,27.8,35.3,39.87,40.5,45.17,42.68,42.26,33.47,31.28,34.92,33.67
Accounts Receivable,45.12,37.52,34.87,37.47,32.61,34.91,35.61,42.76,43.07,42.64,43.99
Inventory,,,,,,,,,,,
Other Current Assets,1.25,2.07,2.19,1.92,2.0,2.21,2.25,2.97,2.84,1.94,4.42
Total Current Assets,74.17,74.89,76.94,79.89,79.77,79.81,80.11,79.19,77.19,79.49,82.08
Net PP&E,24.06,23.47,21.33,18.61,18.79,18.83,18.68,18.62,20.32,19.23,16.72
Intangibles,0.76,0.69,0.55,0.43,0.37,0.27,0.26,0.27,0.31,0.28,0.26
Other Long-Term Assets,1.0,0.95,1.18,1.06,1.07,1.1,0.95,1.91,2.18,1.0,0.94
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,29.63,23.41,23.53,24.34,21.16,21.72,21.5,26.64,24.99,26.03,27.24
Short-Term Debt,,,,,,,,,,,
Taxes Payable,1.3,1.33,0.7,1.19,0.7,0.74,0.72,0.73,1.14,0.64,0.78
Accrued Liabilities,6.27,7.16,6.26,6.64,5.91,6.06,6.64,6.66,7.22,6.65,7.04
Other Short-Term Liabilities,,,,,,,,,,,
Total Current Liabilities,37.2,31.91,30.48,32.17,27.77,28.52,28.86,34.03,33.36,33.32,35.06
Long-Term Debt,,,,,,,,,,,
Other Long-Term Liabilities,3.52,3.05,2.68,2.85,2.34,2.84,1.98,1.34,1.13,0.58,0.48
Total Liabilities,40.72,34.96,33.17,35.02,30.11,31.36,30.85,35.37,34.48,33.9,35.55
Total Stockholders' Equity,59.28,65.04,66.83,64.98,69.89,68.64,69.15,64.63,65.52,66.1,64.45
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
