Key Financials GBP,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Revenue GBP Mil,40.0,29.0,16.0,16.0,26.0,40.0,32.0,18.0,14.0,35.0,35.0
Gross Margin %,100.0,100.0,100.0,32.8,100.0,42.3,42.7,34.5,26.8,34.1,34.1
Operating Income GBP Mil,-24.0,1.0,-1.0,-7.0,-2.0,0.0,-4.0,-11.0,-7.0,2.0,2.0
Operating Margin %,-58.6,4.0,-7.3,-45.6,-6.3,0.6,-11.2,-63.0,-51.4,4.8,4.8
Net Income GBP Mil,-15.0,12.0,-1.0,-7.0,0.0,0.0,-3.0,-11.0,-5.0,3.0,3.0
Earnings Per Share GBP,-0.2,0.15,-0.01,-0.07,,,-0.03,-0.1,-0.03,0.01,0.01
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,74.0,74.0,74.0,93.0,97.0,98.0,97.0,103.0,160.0,210.0,210.0
Book Value Per Share * GBP,2.37,,0.31,0.23,0.26,0.22,0.25,0.17,0.05,0.05,0.06
Operating Cash Flow GBP Mil,-9.0,14.0,1.0,-5.0,-1.0,-0.0,2.0,-4.0,-5.0,4.0,4.0
Cap Spending GBP Mil,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,-0.0,-0.0,-1.0,-1.0
Free Cash Flow GBP Mil,-11.0,13.0,1.0,-6.0,-1.0,-2.0,1.0,-4.0,-6.0,3.0,3.0
Free Cash Flow Per Share * GBP,186.3,,0.01,-0.07,-0.02,-0.01,0.04,-0.09,-0.05,-0.01,
Working Capital GBP Mil,36.0,20.0,18.0,5.0,8.0,10.0,8.0,4.0,2.0,5.0,
