Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,22.31,26.08,35.69,30.26,24.29,33.92,27.65,27.43,25.5,26.57,23.34
Accounts Receivable,22.47,21.77,18.38,20.92,21.21,17.73,18.47,15.55,15.15,15.81,16.37
Inventory,19.6,17.79,14.15,18.1,21.66,19.53,21.23,20.08,22.61,21.73,22.04
Other Current Assets,6.67,7.83,7.79,6.04,7.4,6.31,6.31,10.91,6.96,4.94,6.73
Total Current Assets,71.04,73.47,76.0,75.32,74.56,77.49,73.66,73.96,70.22,69.05,68.47
Net PP&E,15.2,14.78,13.4,14.1,14.74,13.94,15.24,13.94,16.45,17.15,17.28
Intangibles,9.58,4.99,4.54,4.61,4.76,2.92,2.22,1.91,1.93,1.81,1.78
Other Long-Term Assets,4.18,6.77,6.06,5.96,5.94,5.65,8.88,10.19,11.4,11.98,12.46
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,10.35,7.79,8.7,9.79,10.27,9.36,10.38,9.87,10.24,8.81,8.95
Short-Term Debt,1.48,2.83,1.01,2.58,1.02,1.01,0.94,0.84,0.21,1.42,1.45
Taxes Payable,,0.65,0.41,0.78,1.59,1.65,3.42,1.13,1.14,1.2,1.44
Accrued Liabilities,14.16,13.46,12.3,13.24,10.7,8.94,10.72,15.63,11.43,10.09,10.3
Other Short-Term Liabilities,0.71,,0.91,,1.42,1.36,1.58,1.86,2.02,2.01,3.48
Total Current Liabilities,26.69,24.73,23.33,26.39,24.99,22.33,27.04,29.32,25.04,23.53,25.61
Long-Term Debt,3.55,3.3,3.09,1.84,1.47,6.88,6.45,5.0,9.39,14.92,14.68
Other Long-Term Liabilities,6.87,6.36,5.93,6.14,6.41,7.35,8.3,6.85,8.27,8.2,8.99
Total Liabilities,37.11,34.39,32.36,34.37,32.87,36.56,41.79,41.17,42.71,46.66,49.28
Total Stockholders' Equity,62.89,65.61,67.64,65.63,67.13,63.44,58.21,58.83,57.29,53.34,50.72
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
