Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,666.0,794.0,643.0,686.0,822.0,846.0,858.0,841.0,656.0,590.0,614.0
Gross Margin %,29.3,31.8,30.3,28.8,27.4,28.6,31.2,30.5,30.4,31.0,31.0
Operating Income USD Mil,57.0,-41.0,4.0,15.0,56.0,47.0,69.0,65.0,26.0,11.0,22.0
Operating Margin %,8.5,-5.1,0.6,2.2,6.8,5.5,8.1,7.7,4.0,1.8,3.6
Net Income USD Mil,38.0,-59.0,6.0,13.0,37.0,31.0,47.0,50.0,10.0,10.0,15.0
Earnings Per Share USD,2.27,-3.51,0.34,0.73,2.1,1.76,2.67,2.84,0.58,0.61,0.92
Dividends USD,,,,0.04,0.15,0.15,0.15,0.15,0.07,0.07,0.11
Payout Ratio % *,,,,,7.6,8.2,5.5,5.3,16.7,3.2,12.2
Shares Mil,17.0,17.0,17.0,17.0,17.0,17.0,18.0,18.0,17.0,17.0,17.0
Book Value Per Share * USD,16.71,19.74,15.26,15.54,17.18,17.67,18.96,23.64,22.82,23.96,23.33
Operating Cash Flow USD Mil,57.0,65.0,47.0,34.0,-49.0,61.0,72.0,71.0,27.0,59.0,22.0
Cap Spending USD Mil,-12.0,-15.0,-11.0,-15.0,-18.0,-18.0,-17.0,-13.0,-13.0,-15.0,-12.0
Free Cash Flow USD Mil,45.0,50.0,36.0,20.0,-67.0,42.0,55.0,58.0,14.0,45.0,11.0
Free Cash Flow Per Share * USD,1.12,2.4,1.93,0.69,-3.02,1.38,2.72,2.33,0.5,3.17,
Working Capital USD Mil,166.0,217.0,214.0,146.0,248.0,261.0,313.0,321.0,232.0,253.0,
