Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,22.84,27.56,30.05,35.54,37.87,39.63,38.36,32.84,22.44,23.7,23.24
Accounts Receivable,14.89,14.2,14.28,13.71,13.35,14.8,15.86,16.6,11.72,12.99,12.36
Inventory,11.26,10.44,11.41,9.7,8.16,6.6,7.01,11.3,6.89,7.74,8.61
Other Current Assets,3.6,4.38,4.84,3.52,4.29,4.51,4.69,5.38,2.51,2.98,3.3
Total Current Assets,52.58,56.59,60.58,62.47,63.67,65.54,65.91,66.12,43.56,47.4,47.51
Net PP&E,25.4,25.04,23.8,22.34,20.32,18.61,18.39,17.75,11.79,11.37,11.49
Intangibles,20.02,16.46,14.11,13.7,14.55,14.68,14.17,14.26,41.7,38.25,37.92
Other Long-Term Assets,2.01,1.92,1.5,1.5,1.46,1.17,1.52,1.87,2.94,2.99,3.08
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,4.0,3.2,3.54,2.67,2.57,2.75,3.62,3.71,2.84,2.67,2.44
Short-Term Debt,3.12,4.48,7.48,0.01,,13.57,,,9.21,,
Taxes Payable,,3.78,1.39,0.63,1.99,1.95,1.22,1.38,1.2,1.37,0.97
Accrued Liabilities,4.36,4.44,4.97,4.57,4.69,4.91,4.26,5.0,4.81,3.86,5.14
Other Short-Term Liabilities,2.21,1.94,1.84,2.21,2.57,2.79,2.32,2.14,1.53,2.48,1.53
Total Current Liabilities,13.7,17.85,19.22,10.09,11.83,25.97,11.42,12.24,19.59,10.38,10.08
Long-Term Debt,6.67,6.25,,4.83,11.73,0.03,12.74,13.76,26.85,31.1,29.2
Other Long-Term Liabilities,2.69,1.96,1.61,1.42,1.24,1.15,1.37,1.33,1.55,2.0,2.0
Total Liabilities,23.06,26.05,20.84,16.35,24.8,27.15,25.53,27.33,47.99,43.48,41.27
Total Stockholders' Equity,76.94,73.95,79.16,83.65,75.2,72.85,74.47,72.67,52.01,56.52,58.73
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
