Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,12.93,30.87,34.47,32.22,41.82,38.51,55.58,54.19,31.42,37.54,25.87
Accounts Receivable,17.64,9.57,9.9,9.45,4.17,4.56,4.08,3.72,5.36,6.04,4.27
Inventory,,,,,,,,,,,
Other Current Assets,11.79,7.53,6.25,5.91,7.8,11.19,6.68,7.45,5.99,6.38,8.98
Total Current Assets,42.35,47.97,50.61,47.58,53.79,54.26,66.35,65.36,42.77,49.96,39.11
Net PP&E,6.77,6.87,6.6,5.9,5.44,5.9,6.5,6.9,10.27,9.79,11.88
Intangibles,20.5,23.07,23.08,23.31,14.88,15.85,16.87,19.36,31.66,33.43,41.64
Other Long-Term Assets,30.38,22.09,19.71,23.21,25.89,23.98,10.29,8.39,15.3,6.82,7.37
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,23.86,,,,,,,,,,
Short-Term Debt,2.42,16.58,1.03,16.91,31.38,20.65,8.54,0.02,0.03,0.04,0.05
Taxes Payable,,10.15,8.77,8.81,7.23,9.17,8.66,9.63,13.08,12.92,8.3
Accrued Liabilities,14.8,4.85,3.81,4.94,3.53,2.97,3.56,3.21,5.66,6.82,1.64
Other Short-Term Liabilities,13.97,13.17,30.74,11.87,12.2,11.55,28.52,28.75,17.61,15.08,16.39
Total Current Liabilities,55.06,44.75,44.35,42.52,54.34,44.34,49.28,41.6,36.38,34.86,26.38
Long-Term Debt,18.35,19.26,20.25,20.16,8.8,19.96,10.78,11.19,52.56,55.42,70.04
Other Long-Term Liabilities,9.02,9.77,7.87,9.48,8.35,7.85,6.78,6.62,10.26,11.98,13.63
Total Liabilities,82.43,73.77,72.48,72.17,71.48,72.15,66.84,59.41,99.19,102.26,110.05
Total Stockholders' Equity,17.57,26.23,27.52,27.83,28.52,27.85,33.16,40.59,0.81,-2.26,-10.05
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
