Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,9.55,6.42,8.9,11.76,8.8,12.18,12.35,11.09,11.85,13.05,8.34
Accounts Receivable,38.35,33.35,31.1,30.55,32.34,31.41,30.01,30.26,32.66,32.42,31.73
Inventory,,3.88,3.39,3.62,3.12,4.55,5.83,5.41,5.08,4.86,6.57
Other Current Assets,6.6,5.8,5.65,6.18,6.56,4.5,4.54,5.14,4.6,4.59,4.78
Total Current Assets,54.51,49.46,49.04,52.1,50.82,52.64,52.73,51.9,54.18,54.92,51.41
Net PP&E,3.67,4.16,3.78,3.34,3.33,3.27,3.34,3.28,3.13,2.91,3.11
Intangibles,38.99,42.97,43.87,41.33,43.52,41.98,42.09,42.73,40.8,40.59,43.74
Other Long-Term Assets,2.84,3.42,3.31,3.23,2.32,2.11,1.84,2.09,1.88,1.58,1.74
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,41.93,39.73,39.86,39.49,39.31,37.45,37.83,37.87,44.38,45.23,42.45
Short-Term Debt,0.08,0.11,0.21,0.26,0.05,0.03,0.03,0.04,4.55,0.12,0.17
Taxes Payable,,,0.87,0.9,1.16,1.19,1.33,1.4,1.44,1.51,1.45
Accrued Liabilities,1.3,1.16,,,,,,,,,
Other Short-Term Liabilities,14.95,15.32,15.32,15.68,16.4,14.93,16.38,16.64,13.94,13.62,12.76
Total Current Liabilities,58.26,56.32,56.26,56.34,56.92,53.61,55.56,55.94,64.31,60.48,56.83
Long-Term Debt,15.85,17.64,12.39,15.97,15.52,20.08,18.25,21.16,16.12,21.24,22.19
Other Long-Term Liabilities,4.66,5.7,7.94,9.39,10.47,10.68,9.98,9.68,8.48,8.94,9.62
Total Liabilities,78.77,79.66,76.59,81.7,82.91,84.38,83.79,86.78,88.91,90.67,88.64
Total Stockholders' Equity,21.23,20.34,23.41,18.3,17.09,15.62,16.21,13.22,11.09,9.33,11.36
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
