Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,419.0,705.0,883.0,1196.0,1566.0,1887.0,2153.0,2444.0,2726.0,3612.0,4111.0
Gross Margin %,37.1,41.1,45.2,45.5,47.0,50.0,50.6,51.0,52.6,49.6,50.4
Operating Income USD Mil,10.0,73.0,181.0,194.0,306.0,393.0,461.0,509.0,567.0,619.0,761.0
Operating Margin %,2.4,10.4,20.5,16.2,19.5,20.8,21.4,20.8,20.8,17.1,18.5
Net Income USD Mil,-5.0,108.0,69.0,37.0,95.0,140.0,95.0,-260.0,188.0,126.0,230.0
Earnings Per Share USD,-0.16,2.79,1.75,0.82,1.74,2.83,1.89,-4.96,3.21,1.79,3.05
Dividends USD,,,,,,,,,,,2.0
Payout Ratio % *,,,,,,,,,,,64.9
Shares Mil,32.0,42.0,40.0,45.0,48.0,52.0,50.0,52.0,58.0,71.0,76.0
Book Value Per Share * USD,,,,,,,,,,,1604.79
Operating Cash Flow USD Mil,120.0,268.0,355.0,393.0,588.0,632.0,605.0,689.0,895.0,1017.0,1242.0
Cap Spending USD Mil,-537.0,-471.0,-370.0,-594.0,-714.0,-789.0,-647.0,-660.0,-868.0,-1141.0,-1397.0
Free Cash Flow USD Mil,-417.0,-204.0,-14.0,-201.0,-126.0,-157.0,-42.0,29.0,27.0,-125.0,-155.0
Free Cash Flow Per Share * USD,,,,,,,,,,,
Working Capital USD Mil,235.0,90.0,412.0,460.0,511.0,100.0,342.0,847.0,1603.0,439.0,
