Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,1.76,51.82,28.47,10.91,0.56,0.9,1.71,2.02,1.56
Accounts Receivable,,,13.28,5.54,7.14,6.2,7.19,8.18,6.28,5.94,5.49
Inventory,,,0.68,0.14,0.28,0.3,0.47,0.44,0.39,0.31,0.28
Other Current Assets,,,1.71,0.76,0.91,1.39,2.1,2.1,0.75,1.06,1.88
Total Current Assets,,,17.44,58.26,36.8,18.81,10.33,11.63,9.13,9.32,9.22
Net PP&E,,,80.37,39.95,3.97,8.8,85.52,85.5,88.3,91.0,88.58
Intangibles,,,1.05,0.81,1.13,1.04,0.87,0.73,0.63,0.69,0.75
Other Long-Term Assets,,,1.15,0.98,58.1,71.36,3.29,2.15,1.95,-1.01,1.45
Total Assets,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,7.28,4.14,9.2,13.45,19.41,,,,
Short-Term Debt,,,,,,,8.45,12.02,21.27,6.27,8.65
Taxes Payable,,,7.76,1.99,2.64,1.25,1.01,0.21,,,
Accrued Liabilities,,,4.33,1.66,,,,,,,
Other Short-Term Liabilities,,,8.19,3.88,6.38,1.33,1.84,11.57,10.04,7.4,8.28
Total Current Liabilities,,,27.56,11.67,18.22,16.03,30.7,23.8,31.31,13.67,16.92
Long-Term Debt,,,,,,,9.4,31.24,30.54,49.67,46.72
Other Long-Term Liabilities,,,,,0.82,5.53,3.55,3.23,2.6,1.98,1.65
Total Liabilities,,,27.56,11.67,19.04,21.56,43.65,58.27,64.44,65.32,65.29
Total Stockholders' Equity,,,72.44,88.33,80.96,78.44,56.35,41.73,35.56,34.68,34.71
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
