Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,1.36,1.86,2.7,2.83,3.68,1.54,1.35,1.69,0.71,0.3,0.21
Accounts Receivable,3.56,3.11,3.05,3.65,1.25,2.39,2.62,2.29,2.02,1.99,1.92
Inventory,2.04,2.14,2.66,2.23,2.54,2.83,2.83,2.87,3.14,2.65,2.4
Other Current Assets,2.95,2.82,1.7,1.82,3.53,2.13,2.37,2.75,0.99,1.12,1.13
Total Current Assets,9.91,9.93,10.11,10.53,11.0,8.89,9.16,9.59,6.87,6.06,5.65
Net PP&E,62.59,64.13,66.53,68.28,68.23,60.21,60.54,58.03,62.49,62.16,62.25
Intangibles,10.79,10.17,8.67,7.32,6.74,14.7,14.24,13.52,13.49,14.63,14.24
Other Long-Term Assets,16.71,15.77,14.69,13.87,14.03,16.2,16.06,18.86,17.15,17.16,17.85
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.19,2.78,2.44,2.69,2.29,2.15,2.08,1.88,1.98,2.26,1.94
Short-Term Debt,4.56,2.24,1.58,0.83,3.71,3.66,2.56,4.41,4.71,3.62,3.22
Taxes Payable,,,0.75,0.7,0.69,0.4,0.48,0.47,0.29,0.29,0.46
Accrued Liabilities,3.73,3.16,0.39,0.4,0.4,0.39,0.38,0.35,0.35,0.38,0.39
Other Short-Term Liabilities,,,2.01,1.98,1.74,2.21,2.02,2.2,2.08,2.16,1.93
Total Current Liabilities,11.48,8.19,7.17,6.6,8.84,8.81,7.53,9.31,9.41,8.7,7.94
Long-Term Debt,19.11,24.96,28.25,30.35,29.87,31.93,33.24,30.83,30.95,34.33,35.89
Other Long-Term Liabilities,26.76,27.31,26.45,24.94,24.86,23.37,23.22,26.0,26.85,26.06,25.63
Total Liabilities,57.35,60.46,61.87,61.89,63.58,64.11,63.99,66.14,67.21,69.09,69.46
Total Stockholders' Equity,42.65,39.54,38.13,38.11,36.42,35.89,36.01,33.86,32.79,30.91,30.54
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
