Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,,,1.38,1.43,3.32,8.67,5.78,4.73,4.89,4.9,5.18
Accounts Receivable,,,8.42,8.79,9.51,9.86,11.42,11.32,10.3,10.74,11.12
Inventory,,,7.1,7.82,9.24,9.22,11.29,11.4,11.39,10.36,11.22
Other Current Assets,,,15.77,16.43,4.13,3.95,3.29,4.59,2.5,2.18,2.36
Total Current Assets,,,32.67,34.46,26.21,31.7,31.77,32.05,29.08,28.18,29.88
Net PP&E,,,14.08,12.91,14.45,13.15,12.79,13.32,12.87,12.92,12.91
Intangibles,,,51.87,50.8,56.73,53.3,54.4,52.41,56.41,57.34,55.3
Other Long-Term Assets,,,1.38,1.83,2.6,1.85,1.04,2.21,1.64,1.56,1.91
Total Assets,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,5.62,5.94,7.17,7.41,8.23,8.24,7.06,7.68,7.34
Short-Term Debt,,,0.03,0.07,0.59,0.72,0.14,0.65,0.02,,
Taxes Payable,,,,,,,,,0.89,0.9,
Accrued Liabilities,,,7.55,7.53,8.68,8.2,9.31,7.94,7.58,7.31,
Other Short-Term Liabilities,,,,,,,,0.43,,0.54,8.6
Total Current Liabilities,,,13.19,13.53,16.43,16.33,17.68,17.26,15.54,16.43,15.94
Long-Term Debt,,,0.57,0.39,10.7,7.68,8.38,15.88,24.02,27.9,27.33
Other Long-Term Liabilities,,,90.11,87.44,14.57,14.52,10.53,11.11,10.21,9.61,9.17
Total Liabilities,,,103.87,101.37,41.7,38.53,36.59,44.25,49.76,53.95,52.44
Total Stockholders' Equity,,,-3.87,-1.37,58.3,61.47,63.41,55.75,50.24,46.05,47.56
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
