Key Financials GBP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Revenue GBP Mil,8.0,9.0,8.0,7.0,22.0,54.0,49.0,29.0,13.0,6.0,6.0
Gross Margin %,58.6,54.8,48.2,50.5,40.1,32.6,29.3,26.4,27.6,30.8,30.8
Operating Income GBP Mil,-2.0,-5.0,-2.0,-1.0,2.0,5.0,-0.0,1.0,-1.0,-2.0,-2.0
Operating Margin %,-26.7,-53.2,-28.1,-17.9,7.4,8.9,-0.0,2.7,-6.7,-28.3,-28.3
Net Income GBP Mil,-2.0,-4.0,-3.0,-1.0,1.0,3.0,-1.0,0.0,-1.0,-2.0,-2.0
Earnings Per Share GBP,-0.07,-0.12,-0.07,-0.03,0.02,0.07,-0.01,0.01,-0.04,-0.03,-0.03
Dividends GBP,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,30.0,35.0,36.0,36.0,38.0,38.0,38.0,39.0,37.0,66.0,66.0
Book Value Per Share * GBP,,,,,0.01,0.07,0.11,0.06,0.07,0.03,0.02
Operating Cash Flow GBP Mil,,-0.0,1.0,-1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0
Cap Spending GBP Mil,,-1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Free Cash Flow GBP Mil,,-2.0,0.0,-1.0,1.0,1.0,2.0,-1.0,-1.0,-1.0,-1.0
Free Cash Flow Per Share * GBP,,,,,-0.01,0.05,0.08,-0.01,-0.02,-0.03,
Working Capital GBP Mil,,1.0,-0.0,-0.0,0.0,3.0,2.0,3.0,1.0,2.0,
