Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,,,,11.89,8.66,15.22,19.07,12.93,11.83,13.85,12.8
Accounts Receivable,,,,8.84,10.46,10.11,8.82,9.1,8.29,9.33,9.71
Inventory,,,,1.42,1.88,,1.88,,1.41,1.43,1.53
Other Current Assets,,,,1.33,2.8,4.35,2.19,4.31,3.58,1.6,1.65
Total Current Assets,,,,23.48,23.8,29.68,31.96,26.34,25.12,26.22,25.7
Net PP&E,,,,21.9,25.01,19.13,18.25,18.19,15.53,11.16,11.16
Intangibles,,,,46.4,38.57,31.39,29.83,35.15,38.24,42.05,42.44
Other Long-Term Assets,,,,8.22,12.62,19.8,19.96,20.32,21.11,20.57,20.7
Total Assets,,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,,,,1.85,2.17,1.55,1.67,1.58,1.4,1.53,1.6
Short-Term Debt,,,,,,,,,,0.71,0.72
Taxes Payable,,,,1.73,2.41,0.18,0.15,0.18,0.21,0.27,0.18
Accrued Liabilities,,,,5.91,7.61,7.08,7.2,7.63,8.85,8.27,7.82
Other Short-Term Liabilities,,,,5.6,6.65,5.07,4.7,4.89,5.3,6.07,6.17
Total Current Liabilities,,,,15.1,18.85,13.88,13.73,14.28,15.77,16.85,16.48
Long-Term Debt,,,,,,,,,2.38,1.9,1.92
Other Long-Term Liabilities,,,,11.82,13.02,5.84,5.96,6.58,7.16,7.11,7.17
Total Liabilities,,,,26.92,31.86,19.72,19.69,20.86,25.31,25.86,25.57
Total Stockholders' Equity,,,,73.08,68.14,80.28,80.31,79.14,74.69,74.14,74.43
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
