Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,,,2937.0,3906.0,4753.0,8282.0,8684.0,8830.0,5161.0,4431.0,5416.0
Gross Margin %,,,9.5,5.4,12.2,14.3,9.2,3.2,8.0,3.4,4.7
Operating Income USD Mil,,,174.0,103.0,456.0,993.0,603.0,207.0,361.0,77.0,172.0
Operating Margin %,,,5.9,2.6,9.6,12.0,6.9,2.3,7.0,1.8,3.2
Net Income USD Mil,,,65.0,38.0,480.0,595.0,590.0,358.0,291.0,15.0,107.0
Earnings Per Share USD,,,,,,,3.47,2.43,1.97,0.1,0.72
Dividends USD,,,,,,,3.23,2.93,2.14,,
Payout Ratio % *,,,,,,,57.3,111.1,81.0,,
Shares Mil,,,,,,147.0,147.0,147.0,147.0,147.0,147.0
Book Value Per Share * USD,,,,,,,8.25,9.13,9.63,8.38,8.16
Operating Cash Flow USD Mil,,,32.0,167.0,353.0,917.0,601.0,715.0,473.0,268.0,395.0
Cap Spending USD Mil,,,-34.0,-21.0,-69.0,-120.0,-205.0,-191.0,-194.0,-102.0,-85.0
Free Cash Flow USD Mil,,,-2.0,146.0,284.0,797.0,397.0,525.0,279.0,166.0,310.0
Free Cash Flow Per Share * USD,,,,,,,2.09,2.72,3.31,-0.39,
Working Capital USD Mil,,,,,385.0,383.0,656.0,505.0,298.0,313.0,
