Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,76.62,84.87,65.71,59.78,43.96,47.88,63.18,59.41,41.72,49.52,56.66
Accounts Receivable,5.21,2.4,0.49,0.73,8.31,5.19,3.69,3.86,7.11,6.94,8.24
Inventory,,,,,5.1,1.1,0.61,1.32,2.29,2.68,3.07
Other Current Assets,0.77,1.22,0.64,0.76,3.03,3.43,1.03,1.65,5.2,4.08,4.82
Total Current Assets,82.61,88.49,66.84,61.26,60.39,57.61,68.5,66.24,56.31,63.23,72.79
Net PP&E,11.06,6.97,3.18,4.19,6.04,15.71,30.05,30.66,27.92,24.11,23.76
Intangibles,,,27.86,31.57,31.51,25.17,1.34,2.95,13.39,11.56,2.48
Other Long-Term Assets,6.34,4.55,2.12,2.97,2.06,1.51,0.11,0.15,2.37,1.11,0.97
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,5.44,5.28,1.89,2.08,3.39,3.67,2.13,3.05,3.0,2.12,2.41
Short-Term Debt,3.32,,,7.94,,,,0.61,2.86,10.36,
Taxes Payable,,,,,0.55,0.03,0.36,0.43,1.24,0.24,
Accrued Liabilities,15.6,10.8,6.42,8.31,11.82,7.81,11.03,9.45,8.91,9.03,11.97
Other Short-Term Liabilities,8.76,6.01,6.25,9.19,2.04,4.18,3.63,2.24,4.26,5.61,7.84
Total Current Liabilities,33.13,22.09,14.57,27.52,17.8,15.68,17.15,15.77,20.26,27.36,22.22
Long-Term Debt,,29.32,6.23,23.18,18.15,14.5,,12.02,8.96,,
Other Long-Term Liabilities,21.76,24.23,23.14,20.09,28.36,33.61,24.36,26.16,33.16,32.71,21.78
Total Liabilities,54.9,75.64,43.93,70.79,64.3,63.79,41.51,53.95,62.38,60.07,44.0
Total Stockholders' Equity,45.1,24.36,56.07,29.21,35.7,36.21,58.49,46.05,37.62,39.93,56.0
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
