Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,4068.0,4992.0,5099.0,5539.0,6714.0,7391.0,8312.0,9441.0,9667.0,10776.0,11941.0
Gross Margin %,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,
Operating Income USD Mil,1108.0,-535.0,2260.0,2752.0,2713.0,3937.0,4503.0,5106.0,5078.0,5761.0,6463.0
Operating Margin %,27.2,-10.7,44.3,49.7,40.4,53.3,54.2,54.1,52.5,53.5,54.1
Net Income USD Mil,1086.0,-254.0,1463.0,1846.0,1906.0,2759.0,3116.0,3617.0,3808.0,4059.0,4621.0
Earnings Per Share USD,0.8,-0.19,1.12,1.41,1.48,2.19,2.56,3.1,3.35,3.69,4.29
Dividends USD,0.05,0.07,0.06,0.06,0.06,0.12,0.29,0.49,0.67,0.79,0.66
Payout Ratio % *,,,,,,,8.3,15.1,19.6,21.0,15.4
Shares Mil,1357.0,1301.0,1300.0,1310.0,1284.0,1258.0,1215.0,1169.0,1137.0,1101.0,1079.0
Book Value Per Share * USD,,,,,,,62.51,83.18,97.63,119.27,116.78
Operating Cash Flow USD Mil,770.0,413.0,1378.0,1697.0,2684.0,2948.0,4135.0,3407.0,4043.0,4484.0,4735.0
Cap Spending USD Mil,-156.0,-170.0,-139.0,-151.0,-177.0,-218.0,-299.0,-334.0,-342.0,-382.0,-403.0
Free Cash Flow USD Mil,613.0,243.0,1239.0,1546.0,2507.0,2730.0,3836.0,3073.0,3701.0,4102.0,4332.0
Free Cash Flow Per Share * USD,,,,,,,38.24,44.54,50.41,77.61,
Working Capital USD Mil,2228.0,1321.0,1836.0,3311.0,3524.0,4451.0,4918.0,4775.0,4716.0,6022.0,
