Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,13.02,20.91,18.07,14.99,19.2,21.47,22.05,5.66,7.45,37.67,37.67
Accounts Receivable,13.64,12.56,12.49,11.78,11.0,10.21,9.54,6.03,6.32,4.62,4.62
Inventory,13.65,12.43,11.87,11.94,10.92,11.54,12.01,7.3,6.72,4.82,4.82
Other Current Assets,5.37,4.04,4.25,6.05,5.73,5.13,5.66,3.54,4.39,2.27,2.27
Total Current Assets,45.68,49.94,46.68,44.76,46.85,48.34,49.26,22.54,24.88,49.38,49.38
Net PP&E,34.68,31.88,32.13,30.79,29.08,28.59,28.96,15.14,15.24,12.29,12.29
Intangibles,15.13,13.17,16.14,20.19,19.67,19.06,17.8,55.64,53.82,35.66,35.66
Other Long-Term Assets,4.5,5.0,5.05,4.26,4.4,4.01,3.98,6.68,6.05,2.67,2.67
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,3.3,2.84,3.37,2.92,3.08,2.74,3.23,2.35,2.6,2.11,2.11
Short-Term Debt,2.54,4.33,2.1,2.25,3.57,1.7,1.63,5.41,3.91,0.54,0.54
Taxes Payable,,0.04,0.3,0.11,0.03,0.16,0.21,0.12,1.07,0.47,0.47
Accrued Liabilities,6.56,6.95,11.55,12.2,10.73,12.93,12.89,8.47,8.88,5.74,5.74
Other Short-Term Liabilities,5.5,4.94,,,,,,,0.74,,
Total Current Liabilities,17.9,19.1,17.32,17.48,17.41,17.53,17.96,16.35,17.2,8.86,8.86
Long-Term Debt,12.05,16.0,15.49,23.82,33.11,30.97,30.27,42.39,41.23,49.47,49.47
Other Long-Term Liabilities,7.68,9.63,10.87,12.41,13.08,9.98,11.18,14.54,11.74,7.36,7.36
Total Liabilities,37.63,44.73,43.69,53.71,63.6,58.49,59.4,73.29,70.17,65.69,65.69
Total Stockholders' Equity,62.37,55.27,56.31,46.29,36.4,41.51,40.6,26.71,29.83,34.31,34.31
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
