Key Balance Sheet Items (in %),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cash & Short-Term Investments,5.03,6.72,14.26,12.07,8.17,8.24,11.5,10.33,5.11,2.8,3.11
Accounts Receivable,11.29,19.31,9.62,19.68,22.25,11.62,11.39,11.86,13.76,11.4,20.23
Inventory,6.27,5.44,4.27,5.74,6.04,5.53,5.63,5.4,6.08,4.07,4.13
Other Current Assets,11.08,2.66,10.26,1.59,0.59,12.0,11.94,13.82,13.79,10.29,0.62
Total Current Assets,33.67,34.14,38.41,39.08,37.05,37.39,40.46,41.4,38.74,28.56,28.09
Net PP&E,25.59,24.58,22.53,21.74,22.69,22.71,19.18,20.79,24.22,19.34,19.57
Intangibles,38.55,39.12,36.79,36.54,38.09,37.04,29.65,29.53,33.99,49.7,49.96
Other Long-Term Assets,2.19,2.16,2.26,2.64,2.17,2.86,10.71,8.28,3.04,2.41,2.39
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,2.49,1.88,1.81,2.53,2.28,2.79,3.36,2.61,2.79,2.59,2.77
Short-Term Debt,0.03,0.02,0.02,0.03,5.42,0.19,0.01,,6.09,5.3,4.49
Taxes Payable,,,,,,,0.3,0.14,0.14,0.12,0.37
Accrued Liabilities,6.79,6.64,7.84,7.41,8.36,8.05,8.45,9.36,10.85,8.35,7.62
Other Short-Term Liabilities,0.34,,,,0.06,1.78,1.99,2.7,,0.17,
Total Current Liabilities,9.64,8.53,9.67,9.98,16.12,12.8,14.12,14.81,19.87,16.52,15.25
Long-Term Debt,24.75,21.13,19.79,29.52,25.46,29.94,29.14,31.01,25.58,40.48,36.98
Other Long-Term Liabilities,6.42,6.72,6.72,7.59,7.01,6.6,7.6,8.08,9.65,9.35,10.32
Total Liabilities,40.81,36.38,36.17,47.09,48.59,49.34,50.86,53.91,55.11,66.35,62.55
Total Stockholders' Equity,59.19,63.62,63.83,52.91,51.41,50.66,49.14,46.09,44.89,33.65,37.45
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
