Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,431.0,457.0,504.0,635.0,969.0,1227.0,1314.0,1335.0,1405.0,1400.0,1518.0
Gross Margin %,40.2,40.9,42.9,43.4,37.4,37.1,36.7,35.1,35.6,37.3,37.4
Operating Income USD Mil,53.0,45.0,79.0,122.0,154.0,179.0,204.0,168.0,172.0,169.0,178.0
Operating Margin %,12.3,9.8,15.7,19.1,15.9,14.6,15.5,12.6,12.2,12.1,11.7
Net Income USD Mil,36.0,28.0,50.0,76.0,97.0,120.0,132.0,112.0,113.0,121.0,122.0
Earnings Per Share USD,0.5,0.45,0.81,1.19,1.5,1.81,1.98,1.76,1.85,2.03,2.1
Dividends USD,,,,,,,,,,,
Payout Ratio % *,,,,,,,,,,,
Shares Mil,72.0,63.0,62.0,64.0,65.0,66.0,67.0,64.0,61.0,60.0,58.0
Book Value Per Share * USD,2.1,2.34,2.82,4.01,5.35,6.4,7.26,8.86,10.16,11.33,11.49
Operating Cash Flow USD Mil,60.0,42.0,64.0,87.0,75.0,143.0,155.0,152.0,135.0,154.0,115.0
Cap Spending USD Mil,-13.0,-8.0,-3.0,-3.0,-15.0,-20.0,-21.0,-18.0,-19.0,-16.0,-15.0
Free Cash Flow USD Mil,47.0,33.0,61.0,83.0,59.0,123.0,135.0,134.0,115.0,138.0,100.0
Free Cash Flow Per Share * USD,0.29,0.28,0.83,0.8,0.46,0.73,1.8,1.97,1.61,2.2,
Working Capital USD Mil,121.0,122.0,139.0,139.0,211.0,307.0,342.0,265.0,283.0,360.0,
