Key Financials USD,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Revenue USD Mil,5235.0,5634.0,4092.0,5968.0,6162.0,5992.0,6080.0,6565.0,6617.0,6098.0,6662.0
Gross Margin %,29.0,28.5,33.8,28.4,31.0,30.6,31.0,30.2,33.1,35.5,33.6
Operating Income USD Mil,423.0,473.0,385.0,547.0,618.0,531.0,552.0,595.0,721.0,670.0,673.0
Operating Margin %,8.1,8.4,9.4,9.2,10.0,8.9,9.1,9.1,10.9,11.0,10.1
Net Income USD Mil,269.0,301.0,240.0,344.0,386.0,333.0,349.0,377.0,457.0,431.0,433.0
Earnings Per Share USD,1.21,1.37,1.11,1.59,1.79,1.57,1.68,1.92,2.4,2.36,2.38
Dividends USD,0.28,0.32,0.38,0.4,0.5,0.56,0.6,0.64,0.72,0.8,0.82
Payout Ratio % *,23.1,23.3,34.2,25.2,24.8,35.7,34.5,34.4,29.4,32.2,34.4
Shares Mil,222.0,219.0,217.0,216.0,215.0,212.0,207.0,197.0,190.0,183.0,182.0
Book Value Per Share * USD,5.76,6.44,7.32,8.21,9.22,9.82,10.76,9.92,10.1,10.29,11.13
Operating Cash Flow USD Mil,313.0,409.0,331.0,396.0,457.0,370.0,408.0,395.0,565.0,529.0,434.0
Cap Spending USD Mil,-83.0,-60.0,-35.0,-42.0,-78.0,-48.0,-53.0,-37.0,-44.0,-59.0,-87.0
Free Cash Flow USD Mil,230.0,349.0,296.0,353.0,379.0,323.0,354.0,357.0,520.0,470.0,347.0
Free Cash Flow Per Share * USD,1.04,1.59,1.37,1.63,1.9,1.52,1.7,1.65,2.58,2.83,
Working Capital USD Mil,765.0,903.0,1079.0,1278.0,1491.0,1515.0,1545.0,1305.0,1132.0,1289.0,
