Key Balance Sheet Items (in %),2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Cash & Short-Term Investments,0.48,,,,,3.9,5.22,0.62,0.36,1.39,3.1
Accounts Receivable,9.23,8.2,9.53,8.74,10.68,9.59,8.99,8.48,8.5,8.25,8.71
Inventory,14.51,15.0,14.49,13.23,15.68,17.53,16.72,17.25,17.36,16.14,13.76
Other Current Assets,0.37,1.44,0.99,6.45,3.01,0.42,0.35,0.35,0.5,0.28,0.45
Total Current Assets,24.59,24.64,25.02,28.42,29.37,31.44,31.28,26.7,26.71,26.06,26.02
Net PP&E,62.12,59.82,57.73,53.35,36.88,36.63,36.86,37.09,44.26,46.81,43.89
Intangibles,7.4,7.73,9.37,9.37,33.75,31.55,10.34,32.06,25.83,25.61,29.24
Other Long-Term Assets,5.9,7.81,7.88,8.87,,0.38,21.52,4.15,3.19,1.53,0.85
Total Assets,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Accounts Payable,7.91,,,,,,6.06,5.95,5.2,5.86,
Short-Term Debt,4.14,5.28,6.36,0.32,0.01,,10.28,3.03,4.9,,
Taxes Payable,,,,2.07,,0.76,0.97,0.77,,0.58,1.48
Accrued Liabilities,,,,,,,5.03,5.33,3.63,3.81,
Other Short-Term Liabilities,2.01,8.85,11.23,10.94,12.41,13.94,2.58,3.06,2.94,2.5,11.72
Total Current Liabilities,14.06,14.13,17.59,13.34,12.42,14.71,24.9,18.13,16.67,12.75,13.2
Long-Term Debt,15.28,13.64,11.23,10.64,12.07,11.46,0.29,10.42,11.64,11.47,14.84
Other Long-Term Liabilities,12.07,12.73,13.65,13.32,17.06,16.84,12.08,11.72,12.63,13.53,11.98
Total Liabilities,41.41,40.5,42.48,37.29,41.55,43.01,37.27,40.27,40.94,37.75,40.02
Total Stockholders' Equity,58.59,59.5,57.52,62.71,58.45,56.99,62.73,59.73,59.06,62.25,59.98
Total Liabilities & Equity,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
